mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,split12_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,split12_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,split12_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,split12_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07355546951293945,0.006385942408885886,0.10335588455200195,0.01344554239452323,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7023686920700309,0.7209062821833162,0.6972193614830072,0.7239958805355304,0.721936148300721,0.6920700308959835,0.717816683831102,0.7239958805355304,0.7260556127703398,0.7106076210092688,0.7412371134020619,0.6917525773195876,0.7350515463917526,0.7157702639021716,0.015239029267137898,18,0.808653103270667,0.8065928405871748,0.8068503734226113,0.8091681689415401,0.805991930637823,0.806506996308696,0.8093398574984977,0.8056485535239076,0.8085672589921882,0.8103699888402438,0.8054077253218884,0.8093562231759657,0.8054935622317596,0.8075343525194587,0.0016788309495612583,0.7001934136724529,0.7160171492157811,0.6984995215423745,0.7192268753251716,0.7147293053293868,0.6874359805761474,0.7136960157509191,0.7193618915192549,0.7233745117877264,0.7038731191114669,0.7379794263148686,0.6922910673565067,0.7317235445307718,0.7121847555409868,0.01442569949242939,18,0.8067809358314995,0.8050265202738711,0.8051569300715418,0.8074501789775317,0.8043898583774999,0.8047385683650996,0.807394040239876,0.8038112778785335,0.8068428918910906,0.808826029959872,0.8035772574490763,0.807742113431872,0.803658539856752,0.8057996263541626,0.0017063449834147227
0.10765682733975925,0.03939338897094032,0.10728085958040677,0.03899810681621758,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7116374871266735,0.721936148300721,0.7085478887744593,0.7250257466529351,0.7270854788877446,0.6930998970133883,0.7281153450051493,0.729145211122554,0.748712667353244,0.7147270854788877,0.7515463917525773,0.7010309278350515,0.7463917525773196,0.723615540606208,0.017292085394424738,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7111667984642558,0.7158646232453494,0.7070322360911916,0.7197332702715193,0.7201584651871334,0.6893992987211067,0.72431482809428,0.7257968929886693,0.7455646708780053,0.7075771779944992,0.7464105249008331,0.6973456167995176,0.7417563625342899,0.71939390509005,0.016959658310726183,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07444467911353478,0.014373927113278976,0.10830323512737568,0.022733473646309947,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6869207003089598,0.7054582904222451,0.7044284243048403,0.7229660144181257,0.7188465499485067,0.6992790937178167,0.7023686920700309,0.721936148300721,0.7209062821833162,0.7033985581874357,0.7494845360824742,0.6958762886597938,0.7123711340206186,0.7110954394326835,0.015335743154570546,20,0.7816979998283115,0.7787792943600309,0.7798952699802558,0.78032449137265,0.7821272212207057,0.7821272212207057,0.7810970898789595,0.7788651386385097,0.7792085157524251,0.7809254013220018,0.7791416309012875,0.7810300429184549,0.7757081545064378,0.7800713439923643,0.0017021618493309144,0.6832157461135724,0.6988518110516561,0.7034395503247425,0.718480450773981,0.7112520957048237,0.6952478256237897,0.6949501380405642,0.7165231313371662,0.7189652330412235,0.6971603672372136,0.7470494315821338,0.6974658368919344,0.7094038321415415,0.707077342297257,0.015465065962994278,20,0.7798359781629918,0.7771112761340041,0.777837108725014,0.7781218633291314,0.7802877166017465,0.7801960257571071,0.7790563252329934,0.7766125560215319,0.7769060412572298,0.7787985700637851,0.7770803542699748,0.7786644006359531,0.7736273574948006,0.7780104287450972,0.0017439842822329602
0.10870911524846004,0.040542510712613854,0.10711796467120831,0.030793936870989386,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6930998970133883,0.7239958805355304,0.7209062821833162,0.733264675592173,0.7260556127703398,0.6992790937178167,0.7229660144181257,0.729145211122554,0.7456230690010298,0.7064881565396498,0.7639175257731958,0.7123711340206186,0.7350515463917526,0.7240126230061146,0.01822531740509207,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6898333619690159,0.7184605805459396,0.7185109431986954,0.729546664846662,0.719175324766945,0.6943689144349843,0.7181973847658788,0.7265967830789354,0.7429666674111007,0.7001656648221672,0.7596008831497387,0.7096543437089468,0.7312235352939639,0.7198693116917673,0.01846416173909835,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08843994140625,0.022130179479862625,0.12195090147165152,0.0252687274063823,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6838311019567456,0.7033985581874357,0.7003089598352215,0.7270854788877446,0.7270854788877446,0.6951596292481977,0.6920700308959835,0.7229660144181257,0.7281153450051493,0.6889804325437693,0.7360824742268042,0.6989690721649484,0.7237113402061855,0.709827993574158,0.01726613542535676,21,0.7736286376513005,0.7715683749678084,0.7683921366640913,0.7703665550691047,0.7714825306893296,0.770194866512147,0.7717400635247661,0.7693364237273586,0.7677053824362606,0.7720834406386814,0.7687553648068669,0.7699570815450644,0.7674678111587983,0.7702060514916599,0.0017773665271129976,0.6799389895322892,0.6971013535878227,0.6988601110028474,0.7224957917721261,0.7209571211577187,0.688752234490457,0.6869910351199666,0.7172136733478026,0.7250938041127889,0.6824027522260447,0.7334087649419807,0.699558828070651,0.7180911199454142,0.7054511984083008,0.017422690310190354,21,0.7708178703779344,0.76901414214532,0.765492706825387,0.7674657388401085,0.7685652432113941,0.7673175412421892,0.7689160047041439,0.766330838943097,0.7644218018546962,0.7692917731503554,0.7655202275343272,0.7668329842230017,0.7648151932854912,0.7672924666413419,0.001872262534194412
0.0970013691828801,0.03621085553272636,0.0993642073411208,0.020834752353882477,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7044284243048403,0.7239958805355304,0.7209062821833162,0.741503604531411,0.7384140061791967,0.7003089598352215,0.7106076210092688,0.729145211122554,0.7445932028836252,0.7003089598352215,0.7587628865979381,0.7144329896907217,0.7422680412371134,0.7253596976881507,0.018121110518709647,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7002829641824998,0.7191349023698985,0.7197324181063374,0.7389190256239446,0.733479048261987,0.6941921653365882,0.7061060109097586,0.7282700845070652,0.7414046751173716,0.6948887789357036,0.7558900699512795,0.7114841779779792,0.7383435812566953,0.7217021463490082,0.018820711299133066,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08251525805546688,0.023706248889082807,0.12426948547363281,0.019444802568276236,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6838311019567456,0.7064881565396498,0.7075180226570545,0.721936148300721,0.7188465499485067,0.7013388259526262,0.6848609680741503,0.7188465499485067,0.7209062821833162,0.7075180226570545,0.7309278350515463,0.688659793814433,0.722680412371134,0.7087968207273417,0.014857645757399566,23,0.7633273242338399,0.7628981028414457,0.7595501759807709,0.76109537299339,0.7604944630440381,0.7622971928920937,0.7595501759807709,0.7608378401579535,0.758434200360546,0.7625547257275302,0.7573390557939914,0.7628326180257511,0.7576824034334764,0.7606841270358152,0.001974213463150997,0.6799453705701245,0.69928831433175,0.7077399615733979,0.7165345101849775,0.7111813605657377,0.6953578271471389,0.6766619430401521,0.7125912199745995,0.717383172871176,0.7012539757361363,0.7276496439681814,0.6867955856149638,0.718731574986004,0.7039318815818724,0.015135974535249895,23,0.7603368739484407,0.7598939476483165,0.7565174146572831,0.7579602354764877,0.757487950008187,0.7592385626178891,0.7564475710946413,0.7576161993655243,0.7550825243036939,0.7594984575986136,0.7542921604884827,0.7592609384092819,0.7545674390922533,0.757553867285315,0.001978564657921374
0.08490221316997822,0.022389893259714765,0.09484652372506949,0.01135095326985149,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7013388259526262,0.717816683831102,0.717816683831102,0.7353244078269825,0.7250257466529351,0.7033985581874357,0.698249227600412,0.733264675592173,0.737384140061792,0.7147270854788877,0.7536082474226804,0.7123711340206186,0.7422680412371134,0.7225071890535276,0.016348130670971454,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6980965168092056,0.7109546703453141,0.7158807819021205,0.7322922066698531,0.7194532307537429,0.6976733460493417,0.6923627377423891,0.7308012601502877,0.7334686863370162,0.7109828436455488,0.7506148857634074,0.7090332693507005,0.7392098320935059,0.7185249436624948,0.017029156403192976,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07011662996732272,0.004204788076531854,0.11178200061504658,0.014411090244261002,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6889804325437693,0.7147270854788877,0.7003089598352215,0.7157569515962925,0.7167868177136972,0.6961894953656025,0.690010298661174,0.717816683831102,0.7167868177136972,0.7116374871266735,0.7298969072164948,0.6958762886597938,0.7237113402061855,0.7091142743037379,0.012741864857778118,22,0.7527684779809426,0.7513091252468023,0.7540561421581251,0.7517383466391965,0.7511374366898447,0.7537986093226886,0.7524251008670272,0.7518241909176754,0.7513949695252812,0.7537127650442098,0.7502145922746781,0.7533047210300429,0.747725321888412,0.7519545999680712,0.0016638778027335788,0.6850766281968684,0.7075926725505701,0.7003411347930879,0.7119307157649815,0.7107299151786666,0.6910945978223151,0.6825444935380266,0.7100221503576254,0.7108489282548688,0.7063961281757061,0.7271156366280629,0.6946585999244567,0.7190589179112157,0.7044161937766501,0.012571316266066305,22,0.7492285711786781,0.7478862432663804,0.750661074211578,0.7487855822505592,0.7478128667864571,0.750566903447934,0.7491408417381107,0.7480270384039953,0.7477246394771112,0.750431311431446,0.7464638868683968,0.7497383441101632,0.7441450138555379,0.7485086397712575,0.0017544067485504842
0.08407163619995117,0.018714371667715543,0.09173802229074332,0.0086591152361747,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6992790937178167,0.7250257466529351,0.717816683831102,0.7301750772399588,0.7229660144181257,0.7003089598352215,0.7033985581874357,0.737384140061792,0.7301750772399588,0.717816683831102,0.7536082474226804,0.7103092783505155,0.7371134020618557,0.7219520740654232,0.01547284947027155,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6974498188140554,0.7202612623161121,0.7166128713288444,0.7273573626406382,0.7177716124100258,0.6942664784765037,0.6960113998049796,0.7330248205640721,0.7253838098533694,0.713224226080614,0.7508375993782083,0.7073672488743797,0.7335084035587437,0.7179289933923497,0.015929219937292197,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
