mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.054399450620015465,0.00681380221648684,0.17872552076975504,0.008466077036592549,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6953422053231939,0.7110266159695817,0.7009034712315739,0.7180218735140276,0.7104136947218259,0.7113647170708511,0.707845429638509,0.007496473957767442,19,0.8076264739444656,0.803917839482693,0.8063135875249596,0.8050774935818199,0.806789008272321,0.8036512313397357,0.8055626056909991,0.0014675109723158348,0.6916386711899914,0.7075269249968967,0.6956755132355948,0.7130492588775296,0.7056322312764828,0.7122958647336374,0.7043030773850222,0.008034946911430639,19,0.8061304951696897,0.8021775674267888,0.8045443570461182,0.8032449564087359,0.8051578839507175,0.8018878833791963,0.8038571905635411,0.0015495187544683083
0.0661478837331136,0.0021909838415634696,0.1545718510945638,0.019540624828985515,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7043726235741445,0.7200570342205324,0.7132667617689016,0.7280076081787922,0.7132667617689016,0.7237280076081788,0.7171164661865751,0.007778414223176188,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.700458781016941,0.7155819641819254,0.7075162118078178,0.7232682937833531,0.7075903377696028,0.7198125959275928,0.7123713640812056,0.007882082135927016,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06636194388071696,0.005828666044811518,0.19559407234191895,0.01476669370933043,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.685361216730038,0.7195817490494296,0.6994769377080361,0.7089871611982882,0.7132667617689016,0.7042320494531622,0.7051509793179759,0.0109049164357684,20,0.7824267782426778,0.7743438569798402,0.7824474660074165,0.7762669962917181,0.7789293524769421,0.7756014072454122,0.7783359762073344,0.003206417166951915,0.6816444418469646,0.7164774777485502,0.6930469810459156,0.702532302798489,0.7092357006594577,0.7033376025980809,0.701045751116243,0.011203176658829164,20,0.7811357947782501,0.7721612960618817,0.7803914943637873,0.7739213396415195,0.7767411481788568,0.7731373930171995,0.7762480776735825,0.0034902877562874453
0.08147811889648438,0.026434411367045284,0.18946417172749838,0.04098634110421611,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6991444866920152,0.7248098859315589,0.717546362339515,0.7261055634807418,0.7227769852591536,0.7261055634807418,0.7194148078639544,0.00952470939828651,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6947768794034737,0.7212638298263788,0.7118697288048791,0.7213954742044585,0.7185453104346724,0.7222723862789359,0.7150206014921331,0.009698497654703722,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0823437770207723,0.01511200784954733,0.2060746749242147,0.021161872177635762,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.689638783269962,0.7100760456273765,0.7009034712315739,0.7094626723728008,0.7085116500237756,0.7047075606276747,0.7038833638588606,0.00711062773063071,21,0.7703499429440852,0.7665462152909852,0.7680897594371018,0.7642863934582105,0.7688504326328801,0.7657126557002948,0.767305899910593,0.0020206922134161412,0.6853432720884236,0.7064147189676392,0.6941167766407822,0.7026965811173087,0.7033227069875625,0.7021828329597023,0.6990128147935698,0.007162519261042576,21,0.7681983009820162,0.7636261250881711,0.765096569897559,0.7609734480710205,0.7658525223947231,0.762519576102817,0.7643777570893846,0.002341484120921159
0.08090567588806152,0.022305578150364772,0.1653589407602946,0.021663116974046246,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7005703422053232,0.7238593155893536,0.7099381835473134,0.724679029957204,0.724679029957204,0.7208749405611032,0.7174334736362503,0.009116613839353768,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6953743810117802,0.7201588918905278,0.7035316889813131,0.7193935071602412,0.7205371358929868,0.7168031031462735,0.7126331180138538,0.00968592124196074,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07531789938608806,0.021031229551673764,0.21644588311513266,0.03090055971687203,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6848859315589354,0.7000950570342205,0.7042320494531622,0.7089871611982882,0.717546362339515,0.7061340941512125,0.7036467759558889,0.009940083021364869,22,0.7616013693419551,0.7578927348801826,0.7589616810877626,0.7543976419130931,0.7568698297993725,0.7585813444898736,0.7580507669187065,0.0021787979737327066,0.6803622062228051,0.6968466727977595,0.6985355680038772,0.7018552444566397,0.7130347658219321,0.7020482038023738,0.6987804435175646,0.009715531043221067,22,0.7590301813411375,0.7552628186413575,0.7557247634914767,0.7510639791837157,0.7539168186829618,0.7551348576599698,0.7550222365001032,0.0023635241641776867
0.08942798773447673,0.028238692710294427,0.19717530409495035,0.06325088187964911,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.6953422053231939,0.7186311787072244,0.7156443176414645,0.7227769852591536,0.7261055634807418,0.717546362339515,0.7160077687918823,0.009867749735586432,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6906825525730164,0.7149955010836554,0.7099258428159269,0.7176998418995645,0.7224677439783481,0.7124030916526696,0.7113624290005301,0.010062256899334017,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07975427309672038,0.018936348902268047,0.19655776023864746,0.009615100100623188,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6848859315589354,0.7048479087452472,0.7023300047551118,0.703281027104137,0.7118402282453637,0.7066096053257251,0.7022991176224199,0.008369523895998937,23,0.74961962723469,0.7461962723469,0.7503090234857849,0.7488827612437007,0.7484073404963393,0.7433678805743082,0.7477971508969539,0.0023580731116521936,0.678764790895876,0.700386410876977,0.6977212990092048,0.6951026751408157,0.7071018254676983,0.7046976726978722,0.6972957790147406,0.009209477681269718,23,0.7462995852256522,0.7428814215867422,0.7469320249528923,0.7451747858695248,0.7449443541191633,0.7394406860436465,0.7442788096329368,0.00250761977536243
0.07486124833424886,0.014356080013842226,0.17853991190592447,0.03818546146032827,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6986692015209125,0.717680608365019,0.7108892058963385,0.7156443176414645,0.7218259629101283,0.722301474084641,0.7145017950697506,0.00805823034854179,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.693919822360004,0.7142924928605129,0.7057323253134553,0.709085360419159,0.7177448619396041,0.7187783906543485,0.7099255422578473,0.008495655614254425,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
