mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.06374425358242458,0.011029363254984874,0.1265987820095486,0.009178216545325333,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7027797576621525,0.7120456165359943,0.724679029957204,0.7018544935805991,0.7189728958630528,0.7225392296718973,0.6997146932952925,0.7289586305278174,0.7189728958630528,0.7145019158841182,0.010215509062731049,18,0.8078808950699831,0.8067219399126326,0.8058477446960243,0.8078980210376181,0.8058477446960243,0.8057586022463897,0.810126582278481,0.8053128899982172,0.8055803173471207,0.8067749708091657,0.0014921200719046472,0.6993170495517581,0.7076508472415056,0.7219461316243402,0.6945346956863097,0.7153322495820884,0.7173178685005525,0.6947840537642388,0.7264184375396664,0.717032112817508,0.7104814940342187,0.011214910340391949,18,0.8061975260557609,0.805136216538181,0.8040888467033519,0.8063045613274066,0.8038271337087389,0.8039857342732002,0.8084420029161341,0.803508011485817,0.8038295256544937,0.8050355065181205,0.0015571031532001193
0.07371679941813152,0.0073945211398799265,0.1349284913804796,0.037217234029312284,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7077690662865289,0.7191732002851033,0.7218259629101283,0.7089871611982882,0.7275320970042796,0.7346647646219686,0.7068473609129815,0.738944365192582,0.7261055634807418,0.7213166157658447,0.011056628993202623,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7047952024618429,0.7138183533127711,0.7173387493802831,0.7046898238201263,0.7217397163648601,0.7289258922111791,0.7012590037662464,0.7343983400531595,0.7210752179543931,0.7164489221472068,0.010748552268290686,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09298303392198351,0.025874637439467225,0.16799738672044542,0.033591944390354754,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6899501069137562,0.7084818246614397,0.7196861626248217,0.7018544935805991,0.7082738944365192,0.7139800285306704,0.7039942938659058,0.7346647646219686,0.702567760342368,0.7092725921753388,0.011917258096917554,20,0.7811357760542035,0.776945707408398,0.7781244428596897,0.784720984132644,0.7794615796042075,0.7775004457122482,0.7802638616509182,0.7785701551078623,0.776252451417365,0.7792194893275041,0.002441247221865011,0.6863144351018547,0.7045216439956983,0.7168752397498281,0.6970839388199079,0.7010531443340188,0.7084301007614634,0.699679979585697,0.7326869765566423,0.700175309848927,0.7052023076393374,0.01246411886762469,20,0.7794782649831997,0.7749130776100738,0.7757271005080152,0.7826839893504545,0.7775307982884738,0.7752524479263211,0.7780399285599534,0.7765466413115497,0.7740158024840353,0.7771320056691197,0.0025341298390164713
0.09040996763441297,0.019136535655783597,0.12507751252916124,0.015882582183743336,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7013542409123307,0.7234497505345688,0.7275320970042796,0.7168330955777461,0.7196861626248217,0.7289586305278174,0.7075606276747504,0.7439372325249644,0.7225392296718973,0.7213167852281307,0.011667875635138667,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.697154133149095,0.7190531122245825,0.7240385145046923,0.7125154578060482,0.7140034878047439,0.7241431896861179,0.7028340075559988,0.7388816517019273,0.7188548129294637,0.7168309297069633,0.011596909748703808,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08235814836290148,0.026094905764937584,0.1547311411963569,0.028639433288894352,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6885245901639344,0.699928724162509,0.7218259629101283,0.7011412268188303,0.7039942938659058,0.7118402282453637,0.7004279600570613,0.7289586305278174,0.7018544935805991,0.7064995678146833,0.011678735174310426,22,0.7733796915396274,0.7677632165463136,0.7708147619896595,0.7692993403458727,0.7695667676947763,0.7649313603137814,0.771082189338563,0.7692993403458727,0.7666250668568372,0.7691957483301448,0.0023732284473894382,0.6846461673581133,0.6946272735718185,0.717996030277631,0.6955008035566437,0.6982143861206301,0.7043413279427948,0.6954589134408231,0.7267590615101697,0.6979512759024791,0.7017216932979005,0.01222442839314417,21,0.7710545196954313,0.7649331343470624,0.7678150531528002,0.7663718849526903,0.7666375286562465,0.7617411057391814,0.7683775496212467,0.766259535721005,0.7636667421766202,0.7663174504513648,0.0025586656920160906
0.08723870913187663,0.029154778399893153,0.1278590891096327,0.01264339071932871,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7042052744119743,0.7113328581610834,0.7325249643366619,0.7118402282453637,0.7154065620542083,0.7261055634807418,0.7089871611982882,0.746077032810271,0.7203994293865906,0.7196532304539093,0.01250243731256253,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6996632105736769,0.7059524257533009,0.7293211361401342,0.7074087102194218,0.7098437527440462,0.720477788056393,0.7048682472829632,0.7416904978290242,0.7156983304926312,0.7149915665657324,0.012701327538407229,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07158173455132379,0.017440424485578983,0.14856998125712076,0.012508356195675025,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.692088382038489,0.7056307911617962,0.7082738944365192,0.7075606276747504,0.6997146932952925,0.7089871611982882,0.7104136947218259,0.7225392296718973,0.7061340941512125,0.7068158409277856,0.00772268109187515,21,0.7629490951234733,0.7595613800481412,0.7592262435371724,0.7607416651809592,0.7586022463897308,0.7579782492422892,0.7611873774291318,0.756730254947406,0.7574433945444821,0.759379989604754,0.0018636022586689155,0.6881250198949852,0.7009895458017439,0.7022716625024753,0.7012479143035705,0.6929822382177996,0.7017967789836917,0.7054595883485727,0.7181874731532083,0.7018927359240383,0.7014392174588984,0.007794022645856466,22,0.7601296481099116,0.756769314192478,0.7559916746753812,0.7574155434428312,0.7553765529887776,0.7546408905645272,0.7580061399308905,0.7533058087898371,0.7541366216475203,0.7561969104824615,0.002008095116223417
0.08027717802259657,0.017026323068259804,0.12990238931443956,0.03153285190271883,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7063435495367071,0.7163221667854597,0.724679029957204,0.7125534950071327,0.7068473609129815,0.7289586305278174,0.7118402282453637,0.7453637660485022,0.7203994293865906,0.7192564062675287,0.011717524826713937,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7032587242593006,0.7110676467423127,0.7211397266203861,0.7078231716120464,0.7008664403788286,0.7239794737318263,0.7064841288248724,0.7416542196581565,0.7159291172865967,0.7146891832349251,0.012045625327373556,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07166292932298449,0.01759755575324816,0.17181960741678873,0.04601586492881123,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6949394155381325,0.7020669992872416,0.7125534950071327,0.6997146932952925,0.703281027104137,0.7125534950071327,0.703281027104137,0.723965763195435,0.703281027104137,0.7061818825158643,0.008218245649552506,23,0.7500222875991798,0.7497548364090221,0.7501337136744518,0.7524514173649491,0.7501337136744518,0.7504011410233553,0.7536994116598325,0.7471920128365127,0.7479051524335889,0.7501881874083716,0.001882870627359774,0.6912258891182317,0.6979637520394567,0.7086570920194131,0.696559130691238,0.6968225967785366,0.7041650917040825,0.697933762608784,0.7210548838379937,0.6972899602743945,0.7012969065635701,0.008400688579456349,23,0.7466450566705566,0.746485351091746,0.7471334343605162,0.7493760249702088,0.7471829318374891,0.7464792005210645,0.7507622501041188,0.7433567999282361,0.7446350052377896,0.7468951171913029,0.002089137860724567
0.06535010867648655,0.004145012055458845,0.12079760763380262,0.013207115337050565,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7034925160370634,0.714896650035638,0.7261055634807418,0.7097004279600571,0.7125534950071327,0.7253922967189729,0.7125534950071327,0.7410841654778887,0.7218259629101283,0.7186227302927507,0.010607556856743123,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7009288077483046,0.7101598294483222,0.7232355647318205,0.7044973968535376,0.7064442321806805,0.7191647037247769,0.706508270992278,0.7377061732751303,0.7159283623484386,0.7138414823670322,0.010886091925983225,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
