mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__n_estimators,param_pca__n_components,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
3.834755516052246,0.13455275135127892,0.04563639163970947,0.002549549581299255,gini,5,auto,200,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'auto', 'model__n_estimators': 200, 'pca__n_components': None}",0.6402535657686212,0.6465927099841522,0.6497622820919176,0.6553090332805072,0.6537242472266244,0.6442155309033281,0.6640253565768621,0.6798732171156894,0.6465927099841522,0.6442155309033281,0.6524564183835183,0.011207250211243825,36,0.6662264483183659,0.672125374185596,0.6693079767564712,0.6734460292304983,0.672653636203557,0.6708927628103539,0.6682514527205494,0.6733579855608381,0.6798732171156894,0.6735340729001584,0.6719668955802078,0.003529398273703505,0.640574722034259,0.6500315136073912,0.6464983444005502,0.6549036733182476,0.655342436239113,0.6439434727055054,0.6601767210927248,0.6797556340470273,0.6534859441921111,0.653583045540137,0.6538295507177068,0.010284291198834193,36,0.6675339537195957,0.6752022834448567,0.6712663541244311,0.6746839006957067,0.6741437720595521,0.6705822513299922,0.6689961429671284,0.6735355727373301,0.6806716347698373,0.6752615140000876,0.6731877379848518,0.0035729003126714854
9.014376139640808,0.08865588534178698,0.08990921974182128,0.0032118124836450043,gini,5,auto,500,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'auto', 'model__n_estimators': 500, 'pca__n_components': None}",0.6473851030110935,0.6497622820919176,0.6561014263074485,0.6545166402535658,0.659270998415214,0.6410459587955626,0.6640253565768621,0.6798732171156894,0.6442155309033281,0.6513470681458003,0.6547543581616482,0.010625455715940637,29,0.6747666842754007,0.6729177672125374,0.669748195104772,0.6704525444620532,0.6714210248283149,0.6736221165698186,0.6707166754710336,0.6710688501496742,0.6782003873921465,0.6717731995069555,0.6724687444972707,0.0024029470865853174,0.6488289322117332,0.651233709130348,0.6519919993413881,0.6565237911390559,0.6613558944059835,0.6395343764075044,0.6613118336575143,0.6799286191031857,0.6482116305453987,0.6583679579881015,0.6557288743930213,0.010279142743100012,28,0.6757874632848587,0.6742523636329223,0.6705931867480102,0.6727070959943063,0.673513880617138,0.6746842291542612,0.6715394571483083,0.6726290881122917,0.6788197886963104,0.6739275924995081,0.6738454145887915,0.002194800247135087
3.661337161064148,0.19603743776872135,0.045022988319396974,0.004177231173241707,gini,5,sqrt,200,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 200, 'pca__n_components': None}",0.6450079239302694,0.6537242472266244,0.6600633914421553,0.6553090332805072,0.6537242472266244,0.6481774960380349,0.6632329635499208,0.6743264659270999,0.6442155309033281,0.6473851030110935,0.6545166402535658,0.00888046004825478,31,0.6736221165698186,0.6719492868462758,0.6684275400598697,0.6674590596936081,0.6718612431766156,0.6739742912484592,0.669748195104772,0.6705405881317134,0.677936256383166,0.6753829899630217,0.6720901567177321,0.00306164186599937,0.6465610628270975,0.6543228963277634,0.6557278697778519,0.6585275800352706,0.6546375091433856,0.6475374921848853,0.6617439737889604,0.6729683384103617,0.648553172523336,0.6547773530091245,0.6555357248028036,0.007399673513542139,31,0.6751368914982879,0.6729281108093259,0.6694285903641282,0.6690716487177244,0.6725161531791249,0.6749348358689135,0.671397515067037,0.6705737862867192,0.6789426769669228,0.677114090111759,0.6732044298869944,0.00311470357558852
8.854777669906616,0.19483095130076633,0.08773293495178222,0.003311797878808362,gini,5,sqrt,500,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 500, 'pca__n_components': None}",0.6426307448494454,0.6434231378763867,0.6537242472266244,0.6624405705229794,0.6561014263074485,0.6442155309033281,0.6671949286846276,0.6782884310618067,0.6458003169572107,0.6473851030110935,0.6541204437400951,0.011346725065420551,32,0.6705405881317134,0.6716851558372953,0.6681634090508892,0.6714210248283149,0.6689558020778306,0.6753829899630217,0.6703645007923931,0.6738862475787991,0.6764395139989435,0.6742384222574397,0.6721077654516641,0.0026235831737884707,0.6426396935943508,0.6440958953885959,0.6504046653663015,0.6647639878966947,0.6590834128346383,0.6424168443749892,0.6647025914883058,0.6775883980626242,0.6501170290898105,0.6551555425331425,0.6550968060629454,0.010914619510534598,32,0.6720663295628339,0.6722005177590932,0.6703516831866112,0.6725731279785215,0.6713466168602062,0.6751132299797934,0.6707219631352237,0.674553838926854,0.6777591038907168,0.6768871626860264,0.673357357396588,0.0024493276348665836
2.969836616516113,0.09565636539619693,0.04416804313659668,0.001566417111274976,gini,5,log2,200,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 200, 'pca__n_components': None}",0.6458003169572107,0.6481774960380349,0.659270998415214,0.6576862123613312,0.6584786053882726,0.6513470681458003,0.6687797147385103,0.6782884310618067,0.6473851030110935,0.6481774960380349,0.6563391442155309,0.010004569971010832,25,0.6735340729001584,0.669748195104772,0.6669307976756471,0.6716851558372953,0.6731818982215179,0.6783764747314668,0.6728297235428773,0.6704525444620532,0.6749427716147209,0.6713329811586547,0.6723014615249163,0.0029420289870911165,0.6467023436456819,0.6512065501879556,0.6551888885280327,0.6633826041321037,0.660062958375698,0.6491950610749552,0.66765759115374,0.6772031318230587,0.6519039481482126,0.6581040581737732,0.658060713524321,0.008897250557351126,25,0.6757023716639018,0.6711529212474162,0.6667589156201048,0.673654796341011,0.6750096804511395,0.6771224522891189,0.6741379033963996,0.6705766170369117,0.6761638404208309,0.674244241407096,0.673452373987393,0.0029632253234149137
7.359117078781128,0.07686726306617739,0.0963794469833374,0.01593660629983417,gini,5,log2,500,,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 500, 'pca__n_components': None}",0.6465927099841522,0.6450079239302694,0.6521394611727417,0.661648177496038,0.661648177496038,0.6458003169572107,0.6632329635499208,0.6806656101426307,0.6450079239302694,0.6450079239302694,0.6546751188589541,0.011299869077639222,30,0.6702764571227329,0.6699242824440923,0.6690438457474908,0.6723014615249163,0.6701003697834126,0.6759992956506428,0.6737101602394788,0.671509068497975,0.6748547279450607,0.6733579855608381,0.6721077654516641,0.0022080537896696263,0.6468606986873261,0.6481003490909345,0.6470761896796412,0.6628342425170436,0.6649796115077496,0.6448956713349995,0.660879829096096,0.6805461969840817,0.6475182479448033,0.6531632778347903,0.6556854314677466,0.010869858359964698,29,0.6712770195554162,0.6705964071151874,0.669674046355586,0.6730535233606455,0.6726005227248625,0.6755075232340131,0.674088667157591,0.672294359403861,0.6753267016379937,0.6741664286059791,0.6728585199151136,0.001857822987196646
4.098826670646668,0.11920129555136644,0.04890365600585937,0.004196179968098605,gini,6,auto,200,,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'auto', 'model__n_estimators': 200, 'pca__n_components': None}",0.6735340729001584,0.6782884310618067,0.6806656101426307,0.6854199683042789,0.6806656101426307,0.6695721077654516,0.6838351822503962,0.6957210776545166,0.6545166402535658,0.6608557844690967,0.6763074484944532,0.011511537254646504,14,0.7021482655397077,0.7006515231554851,0.6981863004050008,0.6991547807712626,0.7020602218700476,0.7026765275576686,0.6991547807712626,0.7033808769149498,0.7055819686564536,0.7021482655397077,0.7015143511181546,0.002131602519616898,0.6746863105083435,0.6797555811708279,0.675299392744357,0.6844486753760363,0.6808480666276899,0.6696152995880703,0.6830056130272742,0.6941567164369051,0.6558049066501225,0.6693048584571579,0.6766925420586785,0.009892344625217772,14,0.7030937233813035,0.7007404011792938,0.6990613777886113,0.7003978178421256,0.703201902793184,0.7033986882976694,0.698939055479661,0.7043117741864547,0.705108752611309,0.7045153475899628,0.7022768841149575,0.002175420807148798
10.178686690330505,0.14052885761701567,0.09583537578582764,0.006162782459713073,gini,6,auto,500,,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'auto', 'model__n_estimators': 500, 'pca__n_components': None}",0.6743264659270999,0.6743264659270999,0.6806656101426307,0.6862123613312203,0.6703645007923931,0.6711568938193344,0.6854199683042789,0.6949286846275753,0.6584786053882726,0.6687797147385103,0.6764659270998414,0.009954235358389857,13,0.7002993484768445,0.6967776016904385,0.700035217467864,0.6999471737982039,0.6990667371016024,0.7044374009508716,0.6992428244409227,0.7014439161824265,0.7035569642542702,0.7047895756295123,0.7009596759992955,0.002451111095807056,0.6755755210083966,0.6744623701684598,0.6760005756681655,0.6845545897059735,0.6722701751668767,0.6695797469031008,0.6842540546614558,0.6941290506505132,0.6614134823182068,0.6749451231602357,0.6767184689411385,0.008581176605068953,13,0.7011301004248461,0.697079429148837,0.7013710050872355,0.7010346913820509,0.7005167373820579,0.7043298827605199,0.6995695575995136,0.7022288461308122,0.7036421321059301,0.7058672175453148,0.7016769599567118,0.002376814281470066
4.175300288200378,0.12878925803896799,0.04666128158569336,0.0027685030554312584,gini,6,sqrt,200,,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__n_estimators': 200, 'pca__n_components': None}",0.6703645007923931,0.6719492868462758,0.6767036450079239,0.6767036450079239,0.6759112519809826,0.6568938193343898,0.6838351822503962,0.6917591125198098,0.6545166402535658,0.6735340729001584,0.6732171156893818,0.01055519860877762,23,0.6978341257263603,0.698274344074661,0.7020602218700476,0.6983623877443211,0.69765803838704,0.7037330515935905,0.6959852086634971,0.7027645712273287,0.7016200035217468,0.7003873921465047,0.6998679344955097,0.0024571756316988354,0.671164997002594,0.6728327479348266,0.6725611573311278,0.6760263434122674,0.6777152192525409,0.6551577984081912,0.6832472581949148,0.6891388230916602,0.6579202582097533,0.6798087893356554,0.6735573392173531,0.00994707928377003,21,0.6984103321268116,0.698728411726651,0.7026819052904688,0.6996784782987461,0.6985168783348873,0.7036220958374528,0.6957340171384326,0.7029582034863238,0.701902734287238,0.7001458225330506,0.7002378879060063,0.002382950567406473
10.30164659023285,0.12717141016858194,0.09431254863739014,0.004155603251449856,gini,6,sqrt,500,,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__n_estimators': 500, 'pca__n_components': None}",0.6727416798732171,0.6759112519809826,0.6854199683042789,0.6814580031695721,0.6767036450079239,0.6671949286846276,0.6782884310618067,0.6917591125198098,0.6600633914421553,0.6679873217115689,0.6757527733755943,0.008822292018837883,16,0.6995069554499032,0.6973939073780595,0.701179785173446,0.6991547807712626,0.701179785173446,0.7020602218700476,0.6985384750836415,0.7024123965486881,0.7047015319598521,0.7029406585666491,0.7009068497974996,0.0021274710269250452,0.6743093135287642,0.6759255745011367,0.6801739685494398,0.6818056065925122,0.6786122150124948,0.6645537495613292,0.6761482381183335,0.690151036242428,0.662810101677616,0.6732951802837055,0.675778498406776,0.0075690421904136855,15,0.7000312020869094,0.6978236079818829,0.701739678902612,0.7004981579414059,0.7022842485847549,0.701503639553625,0.6983783276608647,0.7033087810319847,0.7051300969467235,0.7038959236453869,0.7014593664336151,0.002219628082825896
