mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,param_pca__n_components,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.0737877607345581,0.017556089021381456,0.04861371517181397,0.008749787443258675,euclidean,5,uniform,1,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'pca__n_components': 1}",0.4112519809825674,0.43898573692551507,0.4381933438985737,0.4183835182250396,0.4144215530903328,0.4429477020602219,0.4080824088748019,0.4405705229793978,0.4247226624405705,0.41996830427892234,0.42575277337559425,0.012589077974790851,107,0.5949991195633034,0.5946469448846627,0.5926219404824793,0.5970241239654869,0.595351294241944,0.5916534601162177,0.595351294241944,0.591829547455538,0.5925338968128192,0.5963197746082056,0.5942331396372601,0.0018253089928095183,0.4252905871747402,0.4400406416182566,0.4407331878568651,0.4215876313822199,0.42241889016038214,0.45106229093436273,0.4102583511792212,0.45076272811953827,0.4327926917498791,0.42994000002059896,0.4324887000196065,0.012556853399086684,107,0.6050400902744065,0.6027065287623794,0.6028802132911958,0.6043841556982815,0.603531558024822,0.5995276649891254,0.6045504851055143,0.6004508399259377,0.5994616666077798,0.6039517497170096,0.6026484952396451,0.001990233398565383
0.07974097728729249,0.02059196057740323,0.05797445774078369,0.016409334091474857,euclidean,5,uniform,3,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'pca__n_components': 3}",0.5364500792393027,0.53486529318542,0.554675118858954,0.5356576862123613,0.5419968304278923,0.5625990491283677,0.5515055467511886,0.561014263074485,0.5665610142630745,0.5554675118858954,0.5500792393026941,0.011360827079570706,93,0.6863884486705406,0.6863004050008804,0.6833949639020954,0.6868286670188414,0.6853319246346188,0.6809297411516112,0.6767036450079239,0.6824264835358338,0.6844514879380172,0.6821623525268533,0.6834918119387215,0.002954242329302386,0.5525196398360096,0.53785030389452,0.5574779216628336,0.538875165767036,0.5507123555659119,0.5652812978754688,0.5533078485298153,0.5641878441020892,0.5769302250367828,0.5579406672213946,0.5555083269491863,0.011246251844499098,91,0.6925923580934329,0.6935328600379858,0.6893874968024568,0.6940152020291193,0.6925450994971067,0.688329852782726,0.6842493187224716,0.6893503548339579,0.6917538102198005,0.689892363246039,0.6905648716265096,0.002799184910340324
0.07906892299652099,0.017542298307276886,0.05565791130065918,0.007788839487712515,euclidean,5,uniform,5,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'pca__n_components': 5}",0.6045958795562599,0.6196513470681458,0.6061806656101426,0.5919175911251982,0.6030110935023771,0.5990491283676703,0.6410459587955626,0.6148969889064976,0.6236133122028527,0.6038034865293186,0.6107765451664025,0.01355802762091067,71,0.73261137524212,0.7306744145095968,0.7309385455185772,0.7359570346892058,0.7335798556083818,0.7320831132241592,0.7292657157950343,0.7304102835006163,0.7312907201972179,0.7330515935904208,0.7319862651875331,0.0018173928140986075,0.6092215127710985,0.6214685479053739,0.606012064112511,0.5931301683424725,0.6064609962149776,0.6017197031573925,0.6388153302173608,0.6151729068065832,0.6292298464498064,0.6101340769550087,0.6131365152932585,0.012814937609841301,69,0.7359201792255777,0.7331626172121748,0.7330539747222111,0.7383092524951328,0.7358062730374454,0.7345494189902269,0.7322907240119764,0.7333859734938571,0.7342957743215844,0.7347642908637088,0.7345538478373894,0.001682860786121684
0.09279711246490478,0.02093886891623893,0.06394097805023194,0.006217806894611131,euclidean,5,uniform,7,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'pca__n_components': 7}",0.6347068145800316,0.6402535657686212,0.6434231378763867,0.6450079239302694,0.6283676703645008,0.6291600633914421,0.6798732171156894,0.6687797147385103,0.6671949286846276,0.6410459587955626,0.6477812995245641,0.016944060840208476,42,0.760433174854728,0.7572636027469625,0.7564712097200211,0.7607853495333685,0.7608733932030287,0.7621060045782708,0.7569114280683219,0.7555907730234196,0.7555027293537595,0.7584962141222046,0.7584433879204086,0.0023060719580766807,0.6377717204749799,0.6393502465412471,0.6429010205142641,0.641833593030637,0.6246124353079556,0.6278298419220626,0.6777699463429048,0.6659574309501798,0.669592587988514,0.6398422979659031,0.6467461121038648,0.017096953542395935,40,0.7606900792293108,0.7574393955879158,0.7564772438179335,0.7610956741356152,0.7609552155163811,0.7620847634734453,0.7567827511316736,0.7563530587855916,0.7563485352859648,0.7584214361325922,0.7586648153096425,0.0021806109240388744
0.09388837814331055,0.028447759047691347,0.07895488739013672,0.02121653462622929,euclidean,5,uniform,9,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform', 'pca__n_components': 9}",0.6584786053882726,0.6473851030110935,0.6695721077654516,0.6687797147385103,0.6497622820919176,0.6703645007923931,0.6909667194928685,0.6830427892234548,0.6854199683042789,0.6703645007923931,0.6694136291600634,0.013783083933539709,15,0.7817397429124846,0.7782179961260786,0.7788343018136996,0.7797147385103012,0.7790984328226801,0.7812995245641838,0.7762810353935552,0.7752245113576334,0.7739918999823913,0.7770734284204965,0.7781475611903504,0.0023901221343133974,0.6577447334098807,0.6456507685342652,0.6668532469286318,0.6628118725473685,0.6465672021916248,0.6673756726319346,0.6876839916813087,0.6794953631970662,0.6857103525551084,0.6690694025663754,0.6668962606243564,0.013837867113453915,15,0.7810568521812812,0.777542228755787,0.7777187209863451,0.7792907593581848,0.7789437180010339,0.7809043591982724,0.7755537744504435,0.7748343659242056,0.7729893950648158,0.7760701361533481,0.7774904310073716,0.0025072728737478758
0.07647976875305176,0.0233939294418909,0.02091348171234131,0.0023376583898326504,euclidean,5,distance,1,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'pca__n_components': 1}",0.38193343898573695,0.40491283676703643,0.41600633914421553,0.40253565768621236,0.38589540412044376,0.4326465927099842,0.393026941362916,0.40649762282091917,0.39461172741679873,0.3716323296354992,0.3989698890649762,0.01670897439166916,119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3892583140608111,0.4031892957424946,0.4104407576620282,0.4062764871970437,0.3864959028058696,0.43432642122905063,0.3925924320331757,0.40781829379065343,0.3971633763842194,0.3752713836097872,0.40028326645151335,0.015392755620519427,119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07366361618041992,0.010665531443501877,0.021616506576538085,0.0022940994862297986,euclidean,5,distance,3,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'pca__n_components': 3}",0.5293185419968305,0.5364500792393027,0.5530903328050714,0.5324881141045958,0.5404120443740095,0.5657686212361331,0.5594294770206022,0.5594294770206022,0.5602218700475435,0.5530903328050714,0.5489698890649762,0.012447382228753686,94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5384057541866258,0.5351355312890504,0.549487369089233,0.5304551550999538,0.5361843360542432,0.563980495203728,0.5531677634708281,0.5557865910404736,0.5616354600967604,0.5527524211080417,0.5476990876638939,0.011213860504627582,95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08092141151428223,0.012169350487910043,0.02979257106781006,0.002089771169993498,euclidean,5,distance,5,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'pca__n_components': 5}",0.6133122028526149,0.6283676703645008,0.6133122028526149,0.595879556259905,0.6093502377179081,0.6133122028526149,0.6481774960380349,0.6093502377179081,0.6259904912836767,0.6101426307448494,0.6167194928684628,0.013536011990083656,63,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6135309188921255,0.623021307404487,0.6100122352044437,0.5884127343962368,0.6075197732933224,0.6092750587248279,0.6421403716208565,0.6042371755109591,0.6255273584599896,0.6058288134042996,0.6129505746911548,0.01375631297753909,70,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08537087440490723,0.0069869263653137385,0.04079368114471436,0.01110026491317911,euclidean,5,distance,7,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'pca__n_components': 7}",0.6497622820919176,0.650554675118859,0.6648177496038035,0.6458003169572107,0.6362916006339144,0.6386687797147385,0.6854199683042789,0.6679873217115689,0.6703645007923931,0.6418383518225039,0.6551505546751188,0.01532333233183875,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.648201294324449,0.6456671454645412,0.6594505826779429,0.6380193146414939,0.6321472551785611,0.6333532152272987,0.6791745930424735,0.6630985443054968,0.6663533748715619,0.6370724094260425,0.6502537729159862,0.015189915895088914,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08860318660736084,0.008728927640748852,0.04702515602111816,0.002556652597389756,euclidean,5,distance,9,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance', 'pca__n_components': 9}",0.6735340729001584,0.6727416798732171,0.6782884310618067,0.679080824088748,0.6640253565768621,0.6854199683042789,0.7020602218700476,0.6925515055467512,0.7076069730586371,0.6711568938193344,0.6826465927099841,0.013406437651100339,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.669810662159856,0.6668864832158212,0.6732405826524396,0.6703241310894515,0.6583114986245427,0.6807054703753651,0.6967157249781067,0.6888608622937525,0.7036413804505869,0.6665476796244256,0.6775044475464347,0.013861890871125616,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
