mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.048110675811767575,0.006470123782052138,0.17644145488739013,0.029594362738634687,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.694136291600634,0.7202852614896988,0.7107765451664025,0.7210776545166403,0.7091917591125199,0.7107765451664025,0.7266244057052298,0.7068145800316957,0.7290015847860539,0.7187004754358162,0.7147385103011092,0.009903327923909976,18,0.8082408874801902,0.80815284381053,0.8059517520690263,0.8072724071139286,0.8078887128015496,0.8074484944532488,0.8066561014263075,0.8095615425250925,0.8059517520690263,0.8035745729882021,0.8070699066737103,0.0015651232703276401,0.6908405186771907,0.7178138348109034,0.7073015631177675,0.7137343346823265,0.7059703967725653,0.7058250294288326,0.7217508962249248,0.7024766815826649,0.7277411551473029,0.7154440231963957,0.7108898433640874,0.01007069154563816,18,0.8065313171654198,0.8062636839445524,0.8040190850141038,0.8055356036718101,0.8057996772845277,0.8057105143136151,0.8048266561278281,0.8079077876243523,0.8041813069393831,0.8015920068473514,0.8052367638932945,0.0016292510682998323
0.046915435791015626,0.0039620461629156995,0.14814224243164062,0.03193237215218156,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.705229793977813,0.7266244057052298,0.7171156893819335,0.7234548335974643,0.7131537242472267,0.7218700475435816,0.7432646592709984,0.716323296354992,0.7361331220285261,0.7321711568938193,0.7235340729001585,0.01082102547767565,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7010927756014068,0.722511342949789,0.712740176001955,0.7157906577314544,0.7103621750145303,0.7190834868254422,0.7387709051711546,0.7095055105190605,0.7327382713459952,0.7272989425221794,0.7189894243682968,0.010935025970241843,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05328879356384277,0.017202125660922045,0.14566454887390137,0.05042580505234922,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6973058637083994,0.7060221870047544,0.7123613312202852,0.7131537242472267,0.6933438985736925,0.705229793977813,0.7258320126782885,0.7179080824088748,0.7060221870047544,0.7147385103011094,0.7091917591125199,0.00915205370394987,21,0.7794506075013207,0.7787462581440394,0.7819158302518049,0.7798027821799612,0.781387568233844,0.780771262546223,0.7792745201620004,0.7798908258496214,0.7778658214474379,0.7779538651170981,0.7797059341433352,0.001285226496115843,0.6938142820945472,0.7014286583474473,0.708797675741671,0.7079765788620564,0.689406230261942,0.7011437535038637,0.7193573039497,0.713044749198742,0.7061463392571987,0.7145663503541301,0.7055681921571298,0.008829746975956499,21,0.7772506707996859,0.7768087654982077,0.7793178607247372,0.7780163177198086,0.7790910909658851,0.7786870353127485,0.7771865895333897,0.7780318300378369,0.7756824642733322,0.7758202725917384,0.777589289745737,0.0012032480247616835
0.060585427284240725,0.020373784523974068,0.10945172309875488,0.0441202711832854,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7028526148969889,0.7290015847860539,0.7187004754358162,0.7282091917591125,0.7131537242472267,0.7218700475435816,0.7456418383518225,0.7202852614896988,0.7297939778129953,0.7266244057052298,0.7236133122028525,0.010776545166402534,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6985999534400317,0.7242138830304169,0.714959938540274,0.7239545124139329,0.7082337025086066,0.7175704344566117,0.7409130377318436,0.7145554608024864,0.7278558737874256,0.7228788506363191,0.7193735647347947,0.01092787359498748,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.060403084754943846,0.01785039406345251,0.13985188007354737,0.03335515899296774,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.7012678288431062,0.6988906497622821,0.7147385103011094,0.7123613312202852,0.6870047543581617,0.7044374009508716,0.7179080824088748,0.7099841521394612,0.7187004754358162,0.7147385103011094,0.7080031695721077,0.009530152804539227,23,0.7688853671421025,0.7679168867758408,0.7678288431061807,0.7702060221870047,0.76747666842754,0.7651875330163761,0.766860362739919,0.7684451487938018,0.7653636203556964,0.764483183659095,0.7672653636203558,0.0017114022630488267,0.6985211730377753,0.6959515557609075,0.7102673433959396,0.706902759216424,0.6825118097972654,0.7002706071301465,0.7125758045158485,0.7055483513921005,0.7192837081586232,0.712542713445364,0.7044375825850394,0.009993738095714189,22,0.7666688378192054,0.7658611658030771,0.765363071887141,0.7680373793983485,0.7649145468651684,0.7630026195173737,0.7647978253473948,0.7662119389784177,0.7626913005663288,0.7622009166561872,0.7649749602838642,0.001776212641744759
0.05445165634155273,0.01300682188439709,0.1004840612411499,0.025798459969323805,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7123613312202852,0.7123613312202852,0.7187004754358162,0.7266244057052298,0.7171156893819335,0.7202852614896988,0.7353407290015848,0.7107765451664025,0.7361331220285261,0.7258320126782885,0.7215530903328051,0.00872496330174377,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7089007089386421,0.7085209119412269,0.7146793885647036,0.7220701077822945,0.7131890210658206,0.7169325506383546,0.7305695583059421,0.7053108812199661,0.7332679800211725,0.7216829474584997,0.7175124055936623,0.008875994460521898,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06052367687225342,0.020115065309179756,0.1377241611480713,0.014461696980497497,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.7107765451664025,0.705229793977813,0.7171156893819335,0.7194928684627575,0.6957210776545166,0.7099841521394612,0.7218700475435816,0.7218700475435816,0.7179080824088748,0.7091917591125199,0.7129160063391442,0.007924326456022682,20,0.7632505722838528,0.7617538298996303,0.7617538298996303,0.7613136115513295,0.7627223102658919,0.7586723014615249,0.7614016552209896,0.7607853495333685,0.7573516464166227,0.7584081704525445,0.7607413276985384,0.0018506980412668016,0.7079001332756208,0.7018817819068511,0.713358020265804,0.7136914823547429,0.6912831283243573,0.7051073570276241,0.7154511409316633,0.7165748357532208,0.7172359931526712,0.7074282793742431,0.7089912152366799,0.007689068652708796,20,0.761228848702874,0.7595121206482714,0.7589449617954199,0.7588820907363589,0.7600936388049886,0.7562989926041492,0.7589973793847568,0.7584189328145656,0.7542189944000447,0.7557857403988834,0.7582381700290313,0.002036215335136421
0.04656651020050049,0.007590520760061947,0.09833822250366211,0.013038054818611417,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7123613312202852,0.7147385103011094,0.7202852614896988,0.7305863708399366,0.7068145800316957,0.7171156893819335,0.7353407290015848,0.7250396196513471,0.7282091917591125,0.7305863708399366,0.7221077654516639,0.008809828381838655,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7104716749362033,0.7115553739105256,0.7171676436081652,0.726694302109317,0.7018763757819846,0.7137581380003963,0.7302178818349427,0.7202132545238136,0.7253780114262431,0.7282137818922388,0.7185546438023831,0.008731050732703746,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04426422119140625,0.004001796962030903,0.1268176794052124,0.014679003134465447,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.694136291600634,0.7123613312202852,0.713946117274168,0.7187004754358162,0.6925515055467512,0.7004754358161648,0.716323296354992,0.7171156893819335,0.7036450079239303,0.7107765451664025,0.7080031695721078,0.009140039751105115,22,0.7503961965134707,0.7504842401831309,0.7510125022010917,0.7514527205493925,0.7516288078887128,0.7491635851382286,0.7495157598168691,0.7485472794506075,0.748811410459588,0.748811410459588,0.7499823912660679,0.0010975836168167553,0.6917930798744416,0.7103013723524073,0.7091821966571753,0.7136013509514877,0.6879580987606218,0.6960612233413215,0.710045958575348,0.7125304534365962,0.7020821306452697,0.7084030759785486,0.7041958940573217,0.008718531252565236,23,0.7479856133889798,0.7484625818908274,0.7487061605034488,0.7491794467782109,0.7489311531816121,0.7470339191977383,0.7471185699570463,0.7460709975386312,0.7459174048740324,0.7465041262967022,0.7475909973607229,0.0011534419415749004
0.04523899555206299,0.008644207100420975,0.09516587257385253,0.011295090833472715,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7107765451664025,0.7218700475435816,0.7194928684627575,0.7297939778129953,0.7068145800316957,0.7115689381933439,0.7305863708399366,0.7329635499207607,0.7202852614896988,0.7266244057052298,0.7210776545166403,0.0086148829951993,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7102199273137432,0.7197465702841711,0.7156275027893308,0.7253839928518279,0.7025579851692115,0.7079438895225963,0.724622141804158,0.7303687404855594,0.7174593132091932,0.7249340838819011,0.7178864147311692,0.008416630328148187,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.04724631309509277,0.010365304335932607,0.12315950393676758,0.012491788982061892,euclidean,20,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.6870047543581617,0.7091917591125199,0.6988906497622821,0.7091917591125199,0.6957210776545166,0.696513470681458,0.7091917591125199,0.7218700475435816,0.6973058637083994,0.7036450079239303,0.7028526148969888,0.009335452599063808,24,0.7378939954217292,0.7385983447790104,0.7393026941362916,0.7404472618418736,0.7415918295474555,0.7397429124845923,0.7390385631273112,0.7373657334037683,0.737805951752069,0.7397429124845923,0.7391530198978693,0.0012351557268084452,0.6864155482040956,0.7077153579836474,0.6915413367543899,0.703431690686758,0.6927955200571313,0.6907646116993293,0.7031069826091374,0.7175000966012727,0.6970215257156556,0.7009712920550034,0.699126396236642,0.00884689830701756,24,0.7354795025308345,0.7361325219879419,0.7374197210575092,0.7381756361485783,0.7393408417068306,0.7372092433155182,0.7368999242864508,0.7348670028488071,0.7348889873197706,0.7378033241576247,0.7368216705359866,0.0013960451888470197
