mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07297021150588989,0.008909476817126515,0.15457606315612793,0.012770787523363086,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7072243346007605,0.7027883396704689,0.7217997465145755,0.6989860583016476,0.7171845275840203,0.7019657577679138,0.7349397590361446,0.7165504121750158,0.7126798669563184,0.011422925209443996,19,0.8072812896214454,0.8069190364064481,0.8048360804202137,0.805198333635211,0.8061215249479308,0.8075704065924115,0.8035859820700897,0.8063026351534909,0.8059769111059052,0.0012688311433814111,0.7040734701963888,0.698411175666112,0.7169117992929542,0.6941474579732372,0.7116359436490081,0.6974950391220289,0.7319316423559422,0.7157244772422475,0.7087913756872398,0.011882925858160401,17,0.8057210595273158,0.8052671359499728,0.8032002321167563,0.8034190215052947,0.8043122970557715,0.8058116846359521,0.8018710778948807,0.8045069329522007,0.804263680204768,0.0012824608720368887
0.0744938850402832,0.005095262963300161,0.13146346807479858,0.014811452139468924,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7110266159695817,0.7110266159695817,0.7249683143219265,0.7078580481622306,0.7273303741280913,0.719720989220038,0.7450856055802156,0.7228915662650602,0.7212385162020908,0.011249133295218119,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7088092003906034,0.705656818335232,0.7197458483447413,0.7020807715105902,0.7224614781466033,0.7154324340269334,0.7400221256376002,0.7177654827143515,0.7164967698883319,0.01110598569069626,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0900297462940216,0.016842060467949616,0.18457987904548645,0.03890441089555244,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6945500633713562,0.7015209125475285,0.7224334600760456,0.7021546261089987,0.7171845275840203,0.7051363348129359,0.7412809131261889,0.7019657577679138,0.7107783244243735,0.014318725612990182,20,0.7807462416228944,0.7780293425104148,0.7804745517116465,0.780927368230393,0.7778683328805578,0.7797699900389387,0.7779588879833379,0.776057230824957,0.7789789932253925,0.001639146741255262,0.6908496628405761,0.6963957903063146,0.7172081648207058,0.6961523611389288,0.7100189095646634,0.7012294332376953,0.7399426675449893,0.6997860112101796,0.7064478750830065,0.01488453917250671,20,0.7791356087541613,0.7759750941281381,0.7783502890974878,0.7791909310036621,0.7756581619841155,0.7777829096239168,0.7757981268901165,0.773832584853625,0.7769654632919029,0.0018067812628684838
0.0758514404296875,0.013087730059784081,0.13709184527397156,0.013815367901521738,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7065906210392903,0.7122940430925222,0.7357414448669202,0.7110266159695817,0.7292327203551047,0.725428027901078,0.7539632213062778,0.719720989220038,0.7242497104688517,0.014540084557181612,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7024304195233882,0.7071227725836893,0.7314964846654028,0.7046291221981548,0.7246203058820208,0.7222617633265237,0.749900871122063,0.7155075662974364,0.719746163199835,0.014929574581039117,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10007774829864502,0.02300940224169595,0.18181544542312622,0.035832593501849155,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6901140684410646,0.6951837769328264,0.7122940430925222,0.6964512040557668,0.7222574508560557,0.7057704502219404,0.7241597970830691,0.7032339885859227,0.706183097408646,0.011734917121349178,23,0.7723238543742076,0.7689730121354827,0.7707842782104691,0.7692447020467307,0.7680883817803134,0.7682694919858734,0.7678167164719732,0.7667300552386127,0.7690288115304578,0.0016659502581153787,0.6865388749965163,0.6897462600144986,0.7071371644757163,0.6888403454943328,0.7161949378674797,0.7012132377300669,0.7223223208206765,0.6994525060942319,0.70143070593669,0.012287068580371277,23,0.770159050559706,0.766368035143291,0.7683452539854839,0.7662930700096151,0.7648850982896398,0.7653969820800566,0.7645149186169037,0.7635828512690859,0.7661931574942227,0.002011699850517372
0.0654592216014862,0.004607465878474939,0.12328660488128662,0.007323617028811425,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7078580481622306,0.7084917617237009,0.7300380228136882,0.7034220532319392,0.7324032974001268,0.7171845275840203,0.74571972098922,0.7171845275840203,0.7202877449361182,0.013628985612157083,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7032549828722718,0.7038418267747201,0.7262876295844415,0.6960439386664373,0.7283510836083618,0.7131200548702593,0.7420322114786962,0.7121368304653118,0.7156335697900624,0.014433925483751454,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0862470269203186,0.015173270407194768,0.18796423077583313,0.02868171159770833,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6977186311787072,0.7040557667934094,0.7103929024081115,0.7046894803548795,0.7178186429930248,0.7006975269499048,0.7273303741280913,0.703868103994927,0.708321428600132,0.009203194440815068,21,0.7618185111392863,0.759735555153052,0.7586487955080601,0.7613656946205397,0.7565878837272481,0.7591234266050892,0.7565878837272481,0.7581273204745087,0.7589993838693789,0.0018240858165441858,0.6941761534039984,0.6998828358626102,0.7042034285536186,0.6978653659295398,0.7112677724313462,0.6956134808025861,0.724160620766623,0.6987032644263084,0.7032341152720789,0.009381509362136142,21,0.7590783812230264,0.7567361230015087,0.7554748583538627,0.7583942955142525,0.7532597255089524,0.7559311043882982,0.7533243780324824,0.75475747643695,0.7558695428074167,0.0020033487203408515
0.09206134080886841,0.03454901481259191,0.1541588008403778,0.04824419568692671,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7129277566539924,0.7097591888466414,0.7300380228136882,0.7065906210392903,0.7292327203551047,0.7146480659480026,0.7438173747622068,0.7152821813570069,0.7202869914719917,0.011927996210952915,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7098842431310238,0.7046088562460808,0.7271295939619059,0.6996454248254701,0.7251083937895587,0.7097676829062417,0.7406667931366142,0.7096439836448688,0.7158068714552205,0.012888252796901385,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06813189387321472,0.006123966196792984,0.1591985523700714,0.003269775884142751,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6996197718631179,0.6958174904942965,0.7103929024081115,0.6989860583016476,0.7127457197209892,0.7019657577679138,0.7324032974001268,0.7083069118579581,0.7075297387267702,0.010945311649921498,22,0.7502264082593733,0.7504980981706213,0.7504980981706213,0.7510414779931172,0.7491623652992846,0.7525129041021461,0.7454496060853029,0.7470795979353436,0.7495585695019762,0.002130856797309355,0.6961419015812277,0.6906035427638301,0.7060600934073269,0.6927541313557561,0.7052538178328469,0.6962716459264564,0.7298734930302188,0.7021992659415243,0.7023947364798984,0.011647387885683556,22,0.7470309711672817,0.7472936188295155,0.7473301579375272,0.7478539782215888,0.7452768233155052,0.7491409984365044,0.7414522653307244,0.7436926736620553,0.7461339358625878,0.0023503695782116692
0.08058932423591614,0.015588245655443927,0.13341787457466125,0.013988263059140315,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7072243346007605,0.7065906210392903,0.7198986058301647,0.7053231939163498,0.7260621433100825,0.7083069118579581,0.7431832593532023,0.7216233354470514,0.7172765506693575,0.012312022590076395,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7045742183329898,0.7009420652345979,0.7170500475438952,0.6985342640647866,0.7199582816523937,0.7022109223565084,0.7396624593898267,0.7161798058671034,0.7123890080552627,0.012868961134876204,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
