mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,split11_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,split11_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,split11_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,split11_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07363390922546387,0.00979657083788498,0.11015872160593669,0.01993352278427262,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7043726235741445,0.7015209125475285,0.7110266159695817,0.7214828897338403,0.717680608365019,0.7034220532319392,0.7138783269961977,0.7281368821292775,0.6974310180780209,0.7402473834443387,0.6974310180780209,0.7373929590865842,0.7145019409362078,0.014203137529537335,19,0.808091286307054,0.8071403872752421,0.8070539419087137,0.8061894882434302,0.8073132780082988,0.8053250345781466,0.8093015214384509,0.8053250345781466,0.8094908808021437,0.8068977439709568,0.8085400639640419,0.8054282997666177,0.8071747467367701,0.00140140289346618,0.7019249712695494,0.6961483165882205,0.7093038424116357,0.7181303023706029,0.7103515314377585,0.7011171972291989,0.7083657555958762,0.7233442647755332,0.6930256729236971,0.7374270831535539,0.6965982435839652,0.7349181835973022,0.7108879470780743,0.014185860946787227,19,0.806227403462449,0.8056057397625506,0.805333236096535,0.8043813277682698,0.8057176512532386,0.8034699900779987,0.8075717577035945,0.8034963795896422,0.807736701798537,0.8051438050050341,0.8069935786485845,0.8035760920097877,0.8054378052646852,0.0014522973829388514
0.10186556975046794,0.023924642550550206,0.10708624124526978,0.03096464819429224,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7129277566539924,0.7034220532319392,0.7243346007604563,0.7129277566539924,0.7252851711026616,0.7129277566539924,0.720532319391635,0.7414448669201521,0.70313986679353,0.7421503330161751,0.7098001902949572,0.7478591817316841,0.7213959877670973,0.014615778467320947,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.712183120044075,0.6958437247088908,0.7205238877697144,0.7088211584431112,0.7202144202111834,0.7087202803989224,0.7166653083156607,0.7360752790838496,0.6988512837109939,0.735888316585699,0.705200287514103,0.7435088442276498,0.7168746592511545,0.014493889561128518,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08775508403778076,0.021224426491421082,0.10981462399164836,0.007779251474397347,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6863117870722434,0.69106463878327,0.7129277566539924,0.723384030418251,0.7157794676806084,0.6996197718631179,0.7015209125475285,0.7262357414448669,0.698382492863939,0.7431018078020932,0.6974310180780209,0.7155090390104663,0.7092723720181998,0.01580269131075155,22,0.7802558782849239,0.7801694329183956,0.7782676348547718,0.7793914246196404,0.7832814661134163,0.7813796680497925,0.7806881051175657,0.7777489626556017,0.7810528135534618,0.7794969314547497,0.781744316708445,0.7748292851586135,0.7798588266241149,0.0020932244621136025,0.6825937363012063,0.6859630624439516,0.7108151721216078,0.7195058425755241,0.7098843086875473,0.6944416526573015,0.6938599572889588,0.7226588983152002,0.6944199242628255,0.7401661086002337,0.6981009681522093,0.7130924592542512,0.7054585075550682,0.016173818182294315,20,0.7783260422021371,0.7785513723959487,0.7760300793322986,0.7770270725243565,0.7811961357201282,0.7794307417522409,0.77866758166455,0.775390676059396,0.7790304746172297,0.7773238198750162,0.7795456139150325,0.7727380680814935,0.7777714731783189,0.002154903049718081
0.0960996150970459,0.030111516167219483,0.1036531925201416,0.032315627215585674,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6967680608365019,0.7100760456273765,0.7252851711026616,0.7328897338403042,0.7281368821292775,0.7100760456273765,0.7138783269961977,0.7395437262357415,0.7098001902949572,0.7554709800190295,0.7155090390104663,0.7392959086584205,0.7230608425315258,0.015965364218423386,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6933200600979514,0.7043945855577601,0.7222379089073822,0.729583515886267,0.7225820943350058,0.7048221326065233,0.7098148841382557,0.7356513313954586,0.7061008567714285,0.7517594034433139,0.7117459656276305,0.7360653879169597,0.7190065105569947,0.016212554811198387,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10530535380045573,0.024171849017828328,0.1241547664006551,0.036273914363115965,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6844106463878327,0.69106463878327,0.7072243346007605,0.7157794676806084,0.7243346007604563,0.6872623574144486,0.7053231939163498,0.7252851711026616,0.70313986679353,0.7316841103710752,0.6974310180780209,0.7212178877259753,0.7078464411345825,0.015214817942303435,23,0.7733402489626556,0.7735131396957123,0.7685857538035962,0.7708333333333334,0.7701417704011065,0.7701417704011065,0.7732538035961273,0.7654737206085753,0.7734462788486473,0.768778632552511,0.7690379462356297,0.7660990578269513,0.7702204546888294,0.0026807471200017345,0.6805717525078796,0.6847576992480148,0.7044222159587807,0.7106232966631874,0.7202195994370933,0.679076047708401,0.6991763549798856,0.7191489826920753,0.6978961434433006,0.7295575282061881,0.6955039308124409,0.7161320177429534,0.7030904641166834,0.01581170338746581,23,0.770489231492256,0.7709624364935337,0.765715719031869,0.7681657044902993,0.7671913431853495,0.7671847839738062,0.7702744721147337,0.7621972173234137,0.7710044209041761,0.765559099778062,0.765904252105581,0.7634452506581583,0.7673411609626032,0.0028180271950702523
0.1018443504969279,0.03245600416979506,0.1094101866086324,0.02712332174156762,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7024714828897338,0.7043726235741445,0.7243346007604563,0.7271863117870723,0.7357414448669202,0.7005703422053232,0.714828897338403,0.7385931558935361,0.7078972407231209,0.7564224548049476,0.7164605137963844,0.7411988582302569,0.7225064939058582,0.01702754506873074,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6976897836874688,0.6975939745005979,0.723126019541463,0.7233484411761234,0.732391361979419,0.6950043626937804,0.7114884265227864,0.7343376866238068,0.7045793647697326,0.7531844512503933,0.7121601525954507,0.7372459474106317,0.7185124977293046,0.017673995522972483,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06832766532897949,0.005769538471475086,0.11093501249949138,0.008318167698743991,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6901140684410646,0.69106463878327,0.7167300380228137,0.7100760456273765,0.714828897338403,0.7024714828897338,0.7043726235741445,0.7252851711026616,0.70313986679353,0.7373929590865842,0.6907706945765937,0.7288296860133207,0.7095896810207912,0.014900605611689292,20,0.7628803596127247,0.7633125864453665,0.7601141078838174,0.7605463347164592,0.7611514522821576,0.7629668049792531,0.7596818810511756,0.7581258644536653,0.7629872936295272,0.75589938629095,0.7619500388970525,0.7569366410234246,0.7605460626054644,0.002392176903524072,0.6860619647812527,0.683570086861397,0.7161740101384771,0.7034798767698536,0.7076838068117075,0.6959916229780273,0.6981058446802553,0.7194350232944818,0.6976632448645681,0.7350680573407467,0.6875546529896166,0.7246263459450296,0.7046178781212844,0.015639186927421146,22,0.7598382196450517,0.760482075619972,0.7572400011614505,0.7573731427656426,0.7578677958889347,0.7598509993028035,0.7564575449578153,0.7547678429882682,0.7598581889917132,0.7526863781534823,0.7584594072942791,0.7538339939150561,0.7573929658903724,0.0024428842621771153
0.08644519249598186,0.016028877465646855,0.09708019097646077,0.022843814683238962,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7024714828897338,0.7005703422053232,0.7281368821292775,0.7252851711026616,0.7309885931558935,0.7100760456273765,0.7110266159695817,0.7395437262357415,0.7107516650808754,0.7469077069457659,0.7136060894386299,0.7421503330161751,0.7217928878164197,0.01517431404470101,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6987692101887205,0.6925952637601688,0.726431031180602,0.7217420977776267,0.7259206181512302,0.7044044052816474,0.7075532266085681,0.735764148465254,0.7066770398330583,0.743406802507366,0.708627925277655,0.739165725852654,0.7175881245737127,0.016021051242603272,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0786247452100118,0.011899359731608296,0.10942000150680542,0.004890879770041312,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.69106463878327,0.6986692015209125,0.7091254752851711,0.7081749049429658,0.714828897338403,0.6996197718631179,0.7081749049429658,0.7167300380228137,0.70313986679353,0.7421503330161751,0.6955280685061845,0.7269267364414843,0.7095110697880828,0.013676349259510013,21,0.7517289073305671,0.7521611341632088,0.7521611341632088,0.7516424619640387,0.7516424619640387,0.7508644536652835,0.7523340248962656,0.7516424619640387,0.7534791252485089,0.7480335379030166,0.7522689947272885,0.746996283170542,0.7512462484300005,0.0017823774925781143,0.6877006348881974,0.6912802073955324,0.7080940106027453,0.703717643171328,0.71133707068377,0.6945662351564931,0.7010802868326091,0.7102818457129251,0.6967321547869317,0.7389686784781053,0.6918688571746022,0.7217075667768962,0.7047779326383447,0.014036287367337379,21,0.7481506342327006,0.7488817954878918,0.7489852792837379,0.7487146160982648,0.7483691241849658,0.7471432530868285,0.7487942549527259,0.7479494207834512,0.7504320011069828,0.7441947784626054,0.7486630178816595,0.7435211502602689,0.7478166104851738,0.0019208466010969792
0.0772606333096822,0.0115506433014151,0.09614837169647217,0.00898158608910114,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6977186311787072,0.7091254752851711,0.720532319391635,0.7214828897338403,0.7224334600760456,0.7062737642585551,0.7167300380228137,0.7281368821292775,0.7174119885823026,0.7497621313035204,0.7136060894386299,0.7373929590865842,0.7200505523739236,0.013305006896782535,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6958976978322603,0.703505438282027,0.7185744444847141,0.7173872208774041,0.7181947586957637,0.700364559997457,0.7099031282841504,0.7229507834010003,0.7122520306610218,0.7473748868814031,0.7085630571030761,0.7327907180659976,0.7156465603805229,0.01365560341210133,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
