mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__min_child_weight,param_model__max_depth,param_model__gamma,param_model__colsample_bytree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
6.728879642486572,0.13404063647432887,0.027671051025390626,0.002029329941974124,0.8,10,3,5,0.8,"{'model__subsample': 0.8, 'model__min_child_weight': 10, 'model__max_depth': 3, 'model__gamma': 5, 'model__colsample_bytree': 0.8}",0.7028526148969889,0.7004754358161648,0.7234548335974643,0.7004754358161648,0.6957210776545166,0.6854199683042789,0.7242472266244057,0.7282091917591125,0.6806656101426307,0.6996830427892234,0.7041204437400951,0.015418917716583568,10,0.7398309561542525,0.7396548688149323,0.7382461701003697,0.7341961612960028,0.7379820390913894,0.7407113928508541,0.7311146328578975,0.7362211656981863,0.7362211656981863,0.735516816340905,0.7369695368902975,0.0027795178742375105,0.7039134845554449,0.6961757027207304,0.7225456625955741,0.6938979668568397,0.6914431463530605,0.6808168772480833,0.7233208773803464,0.7250438805801512,0.682084218558086,0.6993555761210113,0.7018597392969328,0.01573072708057892,10,0.7385264581333201,0.7378942527063871,0.736711218187377,0.7332582855317975,0.7371236784730206,0.7386071877622348,0.7299683186392463,0.734683472562771,0.7350816399936592,0.7336664084867495,0.7355520920476563,0.0026163206709696723
8.469874286651612,0.2157606594218714,0.030499792098999022,0.001322909649672673,0.8,1,3,1.5,1.0,"{'model__subsample': 0.8, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__gamma': 1.5, 'model__colsample_bytree': 1.0}",0.7012678288431062,0.7210776545166403,0.7187004754358162,0.7155309033280507,0.7131537242472267,0.694136291600634,0.7361331220285261,0.731378763866878,0.7091917591125199,0.7194928684627575,0.7160063391442156,0.011986892613217521,6,0.8029582673005811,0.8019897869343194,0.8055115337207255,0.8067441450959676,0.7996126078534953,0.805775664729706,0.7987321711568938,0.8039267476668428,0.8021658742736397,0.7995245641838352,0.8026941362916006,0.002672817884981208,0.7011129619980824,0.7166157531012922,0.7139997288691046,0.7116556537260722,0.7086213031641698,0.6895156829228574,0.7351373798088042,0.7279566794267739,0.709084818576363,0.7185219705934787,0.7132221932186998,0.012194101660433103,6,0.8023785061663908,0.8015251862816112,0.8048836761151469,0.8065637060771821,0.7990574021112675,0.8051906948340404,0.7978385601799981,0.8033450045789232,0.8016419352755358,0.7990829905570734,0.802150766217717,0.002754770417760646
8.275698161125183,0.21040284074836474,0.026905059814453125,0.0019042529853208914,0.8,1,3,5,1.0,"{'model__subsample': 0.8, 'model__min_child_weight': 1, 'model__max_depth': 3, 'model__gamma': 5, 'model__colsample_bytree': 1.0}",0.705229793977813,0.7028526148969889,0.716323296354992,0.7068145800316957,0.7004754358161648,0.6885895404120443,0.7155309033280507,0.7250396196513471,0.6909667194928685,0.7076069730586371,0.7059429477020602,0.01064552826935491,9,0.7444972706462405,0.7419440042260962,0.7392146504666315,0.7407113928508541,0.7388624757879908,0.7430885719316781,0.7393907378059518,0.7381581264307097,0.739566825145272,0.7349885543229442,0.7400422609614369,0.00254968143678897,0.704436512922448,0.6997079706046146,0.7148082705403856,0.7028686075160869,0.6977442364442268,0.6818523606205682,0.7132881862408723,0.7216768467920452,0.6942369979606432,0.7074943754536678,0.7038114365095559,0.010827169304685339,9,0.7427855327244587,0.7406761255643959,0.737449282207992,0.7399628988645927,0.7376431900786831,0.740905362433837,0.7375035202239918,0.7359633123785382,0.7380882861118127,0.7332953407163127,0.7384272851304615,0.0025980406837773475
13.343862843513488,0.1357210656538746,0.04316999912261963,0.005937218457553149,0.8,5,5,1,1.0,"{'model__subsample': 0.8, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 1, 'model__colsample_bytree': 1.0}",0.7234548335974643,0.7242472266244057,0.7123613312202852,0.7242472266244057,0.7044374009508716,0.7202852614896988,0.7385103011093502,0.7432646592709984,0.7258320126782885,0.7258320126782885,0.7242472266244057,0.010583713380072274,2,0.9127487233667899,0.917415037858778,0.9149498151082938,0.9122204613488291,0.9157422081352351,0.9131008980454305,0.9102835006163057,0.9089628455714034,0.9076421905265012,0.9149498151082938,0.912801549568586,0.0029544391165510693,0.7228395108573356,0.7214182384351915,0.7097684043196294,0.720496298396731,0.7028602629777172,0.71933797196433,0.7342113202544448,0.7390793617767085,0.7262286670567867,0.7241455246264021,0.7220385560665277,0.009947980595556762,2,0.9134367631746544,0.917868546627828,0.9153781679255858,0.9126540641433717,0.9162975923798183,0.9137121828463582,0.9106826571915185,0.9093654140705718,0.9083202294248486,0.9156421627468794,0.9133357780531435,0.002956083265489641
10.675943040847779,0.08724606510033,0.036789774894714355,0.006936396055110771,1.0,5,5,2,0.8,"{'model__subsample': 1.0, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 2, 'model__colsample_bytree': 0.8}",0.7202852614896988,0.7250396196513471,0.7385103011093502,0.7337559429477021,0.7155309033280507,0.7076069730586371,0.7432646592709984,0.7297939778129953,0.716323296354992,0.7305863708399366,0.7260697305863708,0.010607713096889855,1,0.8422257439690086,0.8415213946117274,0.8368550801197394,0.8417855256207079,0.8431061806656102,0.8464518401126959,0.8289311498503258,0.8444268357105125,0.8384398661736221,0.840729001584786,0.8404472618418735,0.004633607094926319,0.7174049974382676,0.721214547999228,0.7360706483431481,0.7291642726735491,0.712442468956757,0.703411930689186,0.739699620119058,0.7249738821974876,0.7174246477101903,0.728865183183763,0.7230672199310635,0.010424486481668615,1,0.8427586961233844,0.8420382623519961,0.8370312567602002,0.842004904937763,0.8433818980061495,0.8473401542637508,0.8288353884816211,0.8448823351083564,0.8384776074474051,0.8410035037952708,0.8407754007275898,0.004855008539891378
8.359786486625671,0.10540091450484859,0.028396916389465333,0.004370854885226131,1.0,10,4,5,0.8,"{'model__subsample': 1.0, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__gamma': 5, 'model__colsample_bytree': 0.8}",0.7060221870047544,0.7076069730586371,0.7147385103011094,0.7012678288431062,0.7020602218700476,0.6901743264659271,0.713946117274168,0.7218700475435816,0.7060221870047544,0.7020602218700476,0.7065768621236135,0.00833369959253158,8,0.7437048776192992,0.7414157422081352,0.7411516111991547,0.738950519457651,0.7433527029406586,0.7439690086282796,0.7373657334037683,0.7382461701003697,0.7446733579855609,0.736045078358866,0.7408874801901744,0.0029115710093072125,0.7060891562457355,0.7042490437764561,0.7144564178102331,0.6956854619880548,0.6987669876955591,0.6839485424886195,0.7100907998208854,0.7184377289289445,0.706793736740164,0.7020133516763003,0.7040531227170952,0.009325285807381567,8,0.7416950956789454,0.7398942373507201,0.7393425782845094,0.7378372194044577,0.7418475455388946,0.7412648356970679,0.7354701046550698,0.7363571213365222,0.7423714079910663,0.7339271105085677,0.7390007256445822,0.00281631282403442
7.991147828102112,0.06653181084255283,0.02977590560913086,0.0005938601432144858,0.6,10,3,1.5,1.0,"{'model__subsample': 0.6, 'model__min_child_weight': 10, 'model__max_depth': 3, 'model__gamma': 1.5, 'model__colsample_bytree': 1.0}",0.7099841521394612,0.716323296354992,0.7282091917591125,0.713946117274168,0.7131537242472267,0.6957210776545166,0.7258320126782885,0.7274167987321711,0.7028526148969889,0.7250396196513471,0.7158478605388272,0.010441563492886925,7,0.7993484768445149,0.7974995597816517,0.7970593414333509,0.7954745553794682,0.7969712977636908,0.7960028173974292,0.7927452016200035,0.7932734636379645,0.7962669484064095,0.7948582496918472,0.7959499911956331,0.001875640151062509,0.7086839155943382,0.7118834528680702,0.7239930161363457,0.7096983534562561,0.7104933872594084,0.688897467926087,0.7224977958513703,0.7251054089424891,0.7015732446257942,0.7230663798711994,0.7125892422531358,0.010980902832190238,7,0.7980939391257308,0.7962427988907652,0.7957245647886945,0.794293208984613,0.7956488627951808,0.7943988768799511,0.7912882512614301,0.792153741457615,0.7954360086016223,0.7933875243986241,0.7946667777184226,0.0019100262973632074
6.9367526292800905,0.053649796074764514,0.0340770959854126,0.00047023420382535686,0.8,10,4,1,0.6,"{'model__subsample': 0.8, 'model__min_child_weight': 10, 'model__max_depth': 4, 'model__gamma': 1, 'model__colsample_bytree': 0.6}",0.7187004754358162,0.7187004754358162,0.7305863708399366,0.7179080824088748,0.7004754358161648,0.7131537242472267,0.7456418383518225,0.731378763866878,0.7202852614896988,0.7218700475435816,0.7218700475435816,0.01141706095361514,4,0.8408170452544462,0.8446909667194928,0.8431061806656102,0.8406409579151259,0.840112695897165,0.8410811762634267,0.8372952984680402,0.83720725479838,0.8361507307624582,0.8414333509420673,0.8402535657686213,0.002554541217119315,0.7176045147634487,0.7160039550919396,0.7264502102158056,0.7125793464808365,0.6961635226752128,0.7100623713872476,0.7431668877541491,0.7272600514314791,0.7215368479341784,0.7208250968439216,0.7191652804578219,0.011708118135892632,4,0.8408312563351308,0.8445424552723898,0.8429901359470843,0.8405025738624424,0.8399167815665732,0.840928277860135,0.83692393508262,0.8367703683512884,0.835791940329238,0.841308839765766,0.840050656437267,0.002658474534389339
11.62593207359314,0.12413887734184068,0.018879079818725587,0.00041182471473334877,0.8,5,5,5,1.0,"{'model__subsample': 0.8, 'model__min_child_weight': 5, 'model__max_depth': 5, 'model__gamma': 5, 'model__colsample_bytree': 1.0}",0.713946117274168,0.7123613312202852,0.7234548335974643,0.7155309033280507,0.7020602218700476,0.6996830427892234,0.7345483359746434,0.7290015847860539,0.7123613312202852,0.7234548335974643,0.7166402535657687,0.010543294693172679,5,0.7747842930093326,0.7727592886071492,0.7756647297059341,0.7685331924634619,0.7761049480542349,0.7722310265891882,0.7754005986969537,0.7693255854904032,0.7722310265891882,0.7737277689734108,0.7730762458179257,0.0024668573053144042,0.7145353562164901,0.7083302561975415,0.7199049503366376,0.7122656182481545,0.6996928900244207,0.6958789001827055,0.7305106448921318,0.724894984737733,0.7128774153474404,0.7230888572360694,0.7141979873419325,0.010383421370235749,5,0.7734459141520847,0.7712644479064981,0.7739590464375921,0.766695721240602,0.7746841261474201,0.7704941558270689,0.7737671596803016,0.7676071489724066,0.7709024272754588,0.7718713166961569,0.771469146433559,0.0025475518491786813
8.089475870132446,0.3606703796801851,0.02634768486022949,0.003526076219801203,0.8,1,4,1.5,0.8,"{'model__subsample': 0.8, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__gamma': 1.5, 'model__colsample_bytree': 0.8}",0.7171156893819335,0.7179080824088748,0.7305863708399366,0.7210776545166403,0.7187004754358162,0.7076069730586371,0.7393026941362916,0.7345483359746434,0.7234548335974643,0.7202852614896988,0.7230586370839936,0.008853906236051408,3,0.8565768621236133,0.8527029406585667,0.8557844690966719,0.8496214122204614,0.8565768621236133,0.8550801197393907,0.8509420672653636,0.8535833773551682,0.8503257615777425,0.8525268533192464,0.8533720725479836,0.002444127791449309,0.7157192994622752,0.7149624416595011,0.727726933621828,0.7163184311568546,0.7145483759709601,0.702343664869722,0.7360535610993281,0.7315975299512137,0.7242099461353755,0.7193964587753252,0.7202876642702384,0.009316153414072487,3,0.8570615000087081,0.8530689255600225,0.8562840819203583,0.849840444074962,0.8571580071013214,0.855513674232544,0.8514308747206777,0.8536217816306871,0.8508913921685367,0.8532757405769145,0.8538146421994732,0.002482150463169594
