mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_metric,param_n_neighbors,param_weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.03822999000549317,0.031458897625011514,2.5903783321380613,0.4674485409926615,euclidean,5,uniform,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.7037623762376237,0.6992868462757528,0.7008716323296355,0.7024564183835182,0.7127575277337559,0.7038269601920571,0.0047113520288849815,17,0.8015055467511886,0.8010300089135387,0.8034069525601664,0.8008319302763197,0.7947905318411409,0.8003129940684708,0.0029077742408083304,0.7019056469246227,0.6957085781143216,0.6982716725963362,0.6981374702787998,0.7119947271167618,0.7012036190061683,0.005746893241123322,16,0.8010026403562966,0.7997354866188502,0.8021358965215223,0.7995231779173887,0.7934393571878582,0.7991673117203832,0.003014626129902376
0.03517208099365234,0.011126869537506726,1.4601769924163819,0.2825441867130028,euclidean,5,distance,"{'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.7144554455445544,0.7159270998415214,0.7131537242472267,0.7064183835182251,0.7297939778129953,0.7159497261929045,0.0076493242785306975,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7107013795740914,0.7113128653111007,0.7103779989883601,0.7006293525795579,0.7264762373785516,0.7118995667663321,0.008289657334306314,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06619024276733398,0.02704349463272079,3.813757038116455,0.6767886256157463,euclidean,8,uniform,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'uniform'}",0.6863366336633664,0.7016640253565769,0.6933438985736925,0.7068145800316957,0.7028526148969889,0.6982023505044641,0.007378054492189426,21,0.7715927099841522,0.7721105278795682,0.7730018817470535,0.7675547192235317,0.7693374269585025,0.7707194531585616,0.001991616625839886,0.6828441599554561,0.6970855396557459,0.689982410178799,0.7005697652551708,0.7015502719239891,0.6944064293938321,0.007063382297616644,21,0.7709155650287397,0.7704452696448775,0.7719217593378467,0.765541000374106,0.7672933506020815,0.7692233889975303,0.0024051065969013384
0.05292506217956543,0.02064763521558066,1.8259949207305908,0.44969240918249836,euclidean,8,distance,"{'metric': 'euclidean', 'n_neighbors': 8, 'weights': 'distance'}",0.7108910891089109,0.7127575277337559,0.7099841521394612,0.71513470681458,0.7278129952456418,0.71531609420847,0.006492487592340075,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7070139633598992,0.7080626485446533,0.7057497677574937,0.7092469893354253,0.7246601757441916,0.7109467089483326,0.0069532827979319435,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.026555871963500975,0.01082055542993391,2.074376106262207,0.19646305178482248,euclidean,10,uniform,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'uniform'}",0.6851485148514852,0.7048335974643423,0.7016640253565769,0.7044374009508716,0.7115689381933439,0.701530495363324,0.008814964932268405,19,0.7604992076069731,0.7580469446370209,0.7606219669208676,0.7556700009903932,0.7549767257601268,0.7579629691830763,0.002353090695364752,0.6806182112776578,0.6999120118989685,0.6959869661648098,0.6970439365734837,0.7102419206046394,0.6967606093039119,0.009517698301476352,19,0.7584571578805283,0.7560799734905668,0.7585266739538424,0.752933565292909,0.7522505899205408,0.7556495921076775,0.0026561352066434385
0.020915651321411134,0.011649049983867583,0.9122239112854004,0.14651727549392382,euclidean,10,distance,"{'metric': 'euclidean', 'n_neighbors': 10, 'weights': 'distance'}",0.7089108910891089,0.7187004754358162,0.713946117274168,0.7175118858954042,0.7278129952456418,0.7173764729880278,0.00623098279859318,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7051475131630741,0.7148500717139304,0.7090215579794392,0.7113063640192518,0.7238984783505386,0.7128447970452467,0.006362972720173572,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.028218793869018554,0.007234202775733793,1.4749128818511963,0.13980919732509617,euclidean,12,uniform,"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'uniform'}",0.6871287128712872,0.6925515055467512,0.6977020602218701,0.7016640253565769,0.7068145800316957,0.6971721768056363,0.006865204884001157,22,0.7534667194928685,0.7488362880063385,0.7525007427948895,0.7454689511736159,0.7460631870852729,0.749267177710597,0.0032548376618820236,0.6835798244277002,0.6868549842086865,0.691829052205686,0.6946814810343472,0.7052793918728513,0.6924449467498542,0.0074825459344916015,22,0.7512415311162536,0.7459897474481323,0.7498345056691205,0.7425925810873278,0.7429544072625408,0.746522554516675,0.003512776962416037
0.020678377151489256,0.01066232533161479,0.7334771156311035,0.15103469828256802,euclidean,12,distance,"{'metric': 'euclidean', 'n_neighbors': 12, 'weights': 'distance'}",0.7073267326732673,0.7119651347068146,0.7107765451664025,0.7190966719492868,0.7230586370839936,0.714444744315953,0.005763849718460427,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.704715966879782,0.706724388709315,0.7057308191201269,0.7139192662427909,0.7192043167744545,0.710058951545294,0.005602486224368966,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.014477300643920898,0.008846886771983085,1.1532155990600585,0.10461109062841824,euclidean,15,uniform,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.6831683168316832,0.6862123613312203,0.686608557844691,0.6992868462757528,0.7036450079239303,0.6917842180414555,0.008112146034023436,23,0.7397979397781299,0.737347727047638,0.7362582945429336,0.7329899970288204,0.7341784688521343,0.7361144854499313,0.002392487819909256,0.6792467035189521,0.6798030278039057,0.6807384193433069,0.6919088851281179,0.7021724996660924,0.6867739070920751,0.009001818891071055,23,0.736334548690641,0.734122540756888,0.7332418190856865,0.7294992865932765,0.7299840648946466,0.7326364520042277,0.00257401679795991
0.01737842559814453,0.010469875019425185,0.6163774013519288,0.06903836763623349,euclidean,15,distance,"{'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.7025742574257425,0.7056259904912837,0.7119651347068146,0.7167194928684627,0.7246434231378764,0.712305659726036,0.007888427702911423,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6983027218143396,0.6995392464781568,0.706808081152291,0.7107520882627069,0.7216419231740723,0.7074088121763132,0.008473143069553742,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
