x_pos,y_pos,x_vel,y_vel,angle,ang_vel,leg_1,leg_2,main_booster,lat_booster
-0.0015358924865722,1.4029741287231443,-0.1550883948802948,-0.3531505167484283,0.001341272261925,0.0264262519776821,0.0,0.0,0.902251443684615,0.9440592687192016
-0.0029466629493981,1.395193576812744,-0.1401953399181366,-0.3458053171634674,0.0004721243458334,-0.0173841305077075,0.0,0.0,-0.8027755602117896,0.9748560445108894
-0.0042799948714673,1.3867549896240234,-0.1296455562114715,-0.375046819448471,-0.0031852154061198,-0.0731536597013473,0.0,0.0,-0.1127222283453364,0.7594945559009336
-0.0055836676619946,1.3776639699935913,-0.1250042468309402,-0.4040707647800445,-0.0084802117198705,-0.1059097498655319,0.0,0.0,-0.5874868176027299,-0.9493181982306498
-0.006965828128159,1.3679265975952148,-0.1339219510555267,-0.432799220085144,-0.0127285216003656,-0.0849741771817207,0.0,0.0,0.50855795297574,0.5530149339657122
-0.0081847188994288,1.3582791090011597,-0.1164012551307678,-0.4288363754749298,-0.0181512031704187,-0.1084636226296424,0.0,0.0,0.6488631318447526,-0.572125661240908
-0.0094857215881347,1.3488479852676392,-0.1252606809139251,-0.4192315638065338,-0.0229333564639091,-0.0956521034240722,0.0,0.0,-0.9644908286864852,0.7483148672888325
-0.0107381818816065,1.3387665748596191,-0.1181093007326126,-0.448182463645935,-0.0299903247505426,-0.1411525756120681,0.0,0.0,-0.4599036203526332,-0.5083994089379225
-0.0120577812194824,0.0,-0.1254383623600006,-0.4767360985279083,-0.0364421270787715,-0.1290479302406311,0.0,0.0,-0.2857792600155928,0.6026446975827244
-0.0133580211549997,1.3166719675064087,-0.1218576803803443,-0.5056182742118835,-0.0445089749991893,-0.1613517701625824,0.0,0.0,0.1577045242000692,0.5459464434589045
-0.0145593639463186,1.30526864528656,-0.1106043234467506,-0.507117748260498,-0.0539454482495784,-0.1887470483779907,0.0,0.0,-0.9488363282459192,-0.7731004624386282
-0.0158451087772846,1.2932193279266355,-0.1199917048215866,-0.5358596444129944,-0.0624461807310581,-0.1700299084186554,0.0,0.0,-0.5017502026086618,0.8553166749586756
-0.0170806888490915,1.2805179357528689,-0.1124806031584739,-0.564999520778656,-0.0734265744686126,-0.219628021121025,0.0,0.0,-0.0837878909438669,0.6199023026516509
-0.0182951930910348,1.267156958580017,-0.108580470085144,-0.5945026278495789,-0.0861926227807998,-0.2553442120552063,0.0,0.0,-0.936566024665528,-0.7217104685517663
-0.0195866581052541,1.2531611919403076,-0.1169898509979248,-0.6227745413780212,-0.0982683300971984,-0.241535872220993,0.0,0.0,0.0885582909077074,-0.8030103336519406
-0.0208744052797555,1.2387974262237549,-0.117867074906826,-0.6391379833221436,-0.1091103553771972,-0.2168600857257843,0.0,0.0,0.3979182141237547,0.8254147862971095
-0.0219231601804494,1.2248426675796509,-0.0921065211296081,-0.6211977005004883,-0.1218271106481552,-0.2543582320213318,0.0,0.0,0.6627955154057235,-0.7425008152505901
-0.0228657722473144,1.2107771635055542,-0.0829011276364326,-0.6261003613471985,-0.1331476420164108,-0.2264311611652374,0.0,0.0,-0.2816200595664353,0.5708703091459002
-0.0237938873469829,1.1960591077804563,-0.0797431692481041,-0.655361533164978,-0.1461907178163528,-0.2608849108219147,0.0,0.0,-0.0872052441192834,0.7954240373834345
-0.0247067455202341,1.1806817054748535,-0.0764669626951217,-0.6849615573883057,-0.1610075086355209,-0.2963628768920898,0.0,0.0,-0.2506336438455232,-0.7865215228971114
-0.025706386193633,1.164674997329712,-0.0860248059034347,-0.7129791975021362,-0.1749764233827591,-0.2794030308723449,0.0,0.0,-0.3974792124237987,-0.556519491960378
-0.0267885215580463,1.148029327392578,-0.0950155258178711,-0.7414149045944214,-0.1882480084896087,-0.2654557228088379,0.0,0.0,0.1527666381561701,-0.8946764487899148
-0.0278057102113962,1.1312851905822754,-0.0899727717041969,-0.7457236647605896,-0.2000815570354461,-0.236691802740097,0.0,0.0,0.6562130551266683,0.5217054083935473
-0.028688907623291,1.1143134832382202,-0.0753769427537918,-0.7561074495315552,-0.2131511121988296,-0.2614146471023559,0.0,0.0,-0.9739843021582087,-0.610361635092683
-0.0296714790165424,1.096714735031128,-0.0864762365818023,-0.783905029296875,-0.225084513425827,-0.2386895418167114,0.0,0.0,-0.1679789170774803,0.8372000470164831
-0.0306498520076274,1.0784358978271484,-0.0844378098845481,-0.8145025372505188,-0.2386743575334549,-0.2717970013618469,0.0,0.0,-0.4888188677424736,-0.8536768733073405
-0.0317350402474403,1.0595388412475586,-0.0964702814817428,-0.8418654799461365,-0.2509262263774872,-0.2450376451015472,0.0,0.0,-0.9031441715547596,0.9773193422594606
-0.0328027717769146,1.0399824380874634,-0.0929047614336013,-0.8716050982475281,-0.2650903761386871,-0.2832828462123871,0.0,0.0,0.2233108209750423,-0.6803037098674113
-0.0339185707271099,1.020678997039795,-0.0986010581254959,-0.8603417873382568,-0.278391033411026,-0.2660125195980072,0.0,0.0,0.0738896195058589,-0.5840783002736091
-0.0350501053035259,1.001208782196045,-0.1009806618094444,-0.8677037358283997,-0.2908972501754761,-0.2501242160797119,0.0,0.0,0.822695347250709,0.5663062098212717
-0.0358918197453022,0.982411801815033,-0.0706712827086448,-0.8381844162940979,-0.3048498630523681,-0.2790524959564209,0.0,0.0,-0.3346158266067505,-0.995387613773346
-0.0368629470467567,0.9630023241043092,-0.0855038911104202,-0.8651192784309387,-0.3168771862983703,-0.240546777844429,0.0,0.0,0.494823694229126,-0.9973741173744202
-0.0378054603934288,0.9440650343894958,-0.0842566192150116,-0.8438775539398193,-0.3272787928581238,-0.2080323994159698,0.0,0.0,-0.2000097632408142,-0.9845151901245116
-0.0388750061392784,0.9245131015777588,-0.0987720936536789,-0.8708523511886597,-0.3358124196529388,-0.1706734150648117,0.0,0.0,0.534042239189148,-0.9894828200340272
-0.0398531928658485,0.9051699042320251,-0.0912888422608375,-0.861237108707428,-0.3426448404788971,-0.1366481930017471,0.0,0.0,-0.2543569207191467,-0.978878140449524
-0.0409438125789165,0.8852226734161377,-0.1040897518396377,-0.8877284526824951,-0.3478587567806244,-0.1042784675955772,0.0,0.0,-0.1148258447647094,-0.9935190677642822
