mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__criterion,param_model__max_depth,param_model__max_features,param_model__n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
3.6711965084075926,0.11584653882849104,0.04822828769683838,0.00421891430551771,gini,5,auto,200,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'auto', 'model__n_estimators': 200}",0.6521394611727417,0.6497622820919176,0.6545166402535658,0.6553090332805072,0.6545166402535658,0.6434231378763867,0.6608557844690967,0.6782884310618067,0.6410459587955626,0.6576862123613312,0.6547543581616482,0.009737410946860115,33,0.6699242824440923,0.6704525444620532,0.6708047191406938,0.6633210072195809,0.6680753653812291,0.6718612431766156,0.6732699418911781,0.6693960204261313,0.6746786406057405,0.6737982039091389,0.6705581968656453,0.003112763987442943,0.6531453877213276,0.6521139082534851,0.6490239790272223,0.6592528341058065,0.6592971357391683,0.6410521279567529,0.6563421574663411,0.6783343960213195,0.6456379930905485,0.6681634691191876,0.6562363388501159,0.010346551243836339,33,0.672432828658656,0.672373603136191,0.6728126633836283,0.666812444216417,0.6733479853640761,0.6736702222929866,0.6733180146216944,0.6712591927276829,0.6754069309514853,0.6759839721063111,0.6727417857459129,0.0023825929796154883
8.907391619682311,0.25920822418404554,0.09465036392211915,0.005618887796696716,gini,5,auto,500,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'auto', 'model__n_estimators': 500}",0.6489698890649762,0.6489698890649762,0.6521394611727417,0.6679873217115689,0.659270998415214,0.6394611727416799,0.6624405705229794,0.6767036450079239,0.6458003169572107,0.650554675118859,0.655229793977813,0.010674978165915826,30,0.6731818982215179,0.6736221165698186,0.6695721077654516,0.6698362387744321,0.6708047191406938,0.6757351646416623,0.6733579855608381,0.6741503785877795,0.6759992956506428,0.6729177672125374,0.6729177672125374,0.0021181777261765284,0.6507498344930364,0.6516549051977185,0.6483718170863229,0.6705335483634082,0.6615209632290895,0.6365627892639282,0.6595866404669947,0.6763656134528039,0.6517971534053592,0.6604877872979147,0.6567631052256575,0.010880011696163051,28,0.6753064958771385,0.6749745652791563,0.6719054275732124,0.671521256897673,0.6740477006460065,0.6764570495397365,0.6737304003284635,0.6753707545663519,0.677207656593041,0.6755906184450292,0.6746111925745809,0.001739617603367036
3.520173168182373,0.16974036096992148,0.05014157295227051,0.00785759183951332,gini,5,sqrt,200,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.6473851030110935,0.6473851030110935,0.6497622820919176,0.6719492868462758,0.661648177496038,0.6458003169572107,0.6624405705229794,0.6759112519809826,0.6426307448494454,0.6521394611727417,0.6557052297939779,0.01099257918666097,26,0.6712449374889945,0.6682514527205494,0.6680753653812291,0.6733579855608381,0.6705405881317134,0.6724775488642366,0.6729177672125374,0.6738862475787991,0.6743264659270999,0.6688677584081705,0.6713946117274168,0.002240205387320466,0.6503105062816802,0.6526007866615078,0.6478510151557643,0.6723167455535863,0.6643389716041153,0.642460959417897,0.6579117673780326,0.6758658735402235,0.6477606741565941,0.6596129494173261,0.6571030249166727,0.010471352525072137,27,0.6728628959383288,0.6724492287385855,0.669734447645184,0.6745585959960874,0.6720719183429097,0.6732781905375952,0.6730440591551605,0.6756484842767893,0.6756551649457695,0.6699526819301399,0.6729255667506551,0.0019403860724154268
8.475051093101502,0.10791646529286442,0.09107189178466797,0.0036243260489767256,gini,5,sqrt,500,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__n_estimators': 500}",0.6513470681458003,0.6458003169572107,0.6568938193343898,0.6664025356576863,0.6656101426307448,0.6465927099841522,0.6624405705229794,0.6774960380348652,0.6418383518225039,0.6600633914421553,0.6574484944532488,0.0105602537096083,25,0.672653636203557,0.6718612431766156,0.6696601514351118,0.6685155837295298,0.6702764571227329,0.6739742912484592,0.6740623349181194,0.6710688501496742,0.6762634266596231,0.6717731995069555,0.6720109174150378,0.0021972320447112433,0.6520273589580531,0.6475323097105864,0.653041804784742,0.6679758291994515,0.6693268815062179,0.6450240312324996,0.6583757051399807,0.6779386776724247,0.6469795115215028,0.6716420994526272,0.6589864209178086,0.011231828267550774,25,0.6743385741176962,0.6725516879935564,0.6712349222560944,0.6705731177909031,0.672272833047146,0.6749542301985797,0.6751555889461359,0.6724770197738581,0.6769900501824976,0.6747871868088566,0.6735335211115323,0.0019113861429508319
2.889929509162903,0.029637126844157816,0.046623730659484865,0.0018358768462996152,gini,5,log2,200,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 200}",0.6481774960380349,0.6537242472266244,0.650554675118859,0.6584786053882726,0.6632329635499208,0.6473851030110935,0.6584786053882726,0.6806656101426307,0.6426307448494454,0.6489698890649762,0.655229793977813,0.010322116821411435,30,0.6739742912484592,0.6712449374889945,0.6723895051945765,0.6672829723542877,0.6712449374889945,0.6769677760169044,0.6718612431766156,0.672037330515936,0.6792569114280683,0.6762634266596231,0.673252333157246,0.003275603171918635,0.6477998201477095,0.6563688264014526,0.6478780100821417,0.6569655215284783,0.6671354170822418,0.644867571336934,0.6557690283620187,0.6810195042983954,0.6477145257272535,0.6579943219846225,0.6563512546951247,0.01039051473621495,31,0.6750563085517111,0.6728803514236018,0.6740717198559408,0.6674089529430761,0.6747001887489923,0.6781793671937756,0.6741005703672266,0.6737635522204423,0.6790627909940651,0.6781129813159538,0.6747336783614785,0.003178135785097411
7.179730415344238,0.08786770276465218,0.09174437522888183,0.005034351868268023,gini,5,log2,500,"{'model__criterion': 'gini', 'model__max_depth': 5, 'model__max_features': 'log2', 'model__n_estimators': 500}",0.650554675118859,0.6521394611727417,0.6513470681458003,0.6608557844690967,0.6553090332805072,0.6458003169572107,0.6600633914421553,0.6798732171156894,0.6418383518225039,0.650554675118859,0.6548335974643422,0.009986667356062219,32,0.6714210248283149,0.6718612431766156,0.6693960204261313,0.6672829723542877,0.6709808064800141,0.6767036450079239,0.6737101602394788,0.672653636203557,0.6763514703292833,0.6699242824440923,0.6720285261489699,0.0028131158036389567,0.6518300577768233,0.6544151971533806,0.6502617660557469,0.6615977219565282,0.658207436185274,0.643535809242059,0.6562249469911835,0.6779290998778983,0.6459807105061678,0.6629835028674848,0.6562966248612546,0.009346669447740097,32,0.674060844106931,0.6732163974260529,0.6717849909376955,0.6694551644955965,0.6741126474638472,0.6769606827118421,0.6742482762937044,0.6720982950683158,0.6762754053506671,0.6740797644843338,0.6736292468338986,0.0020602241874370267
3.9842588186264036,0.04435789634447649,0.04986250400543213,0.0019183466903449854,gini,6,auto,200,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'auto', 'model__n_estimators': 200}",0.6695721077654516,0.6735340729001584,0.6846275752773375,0.6885895404120443,0.6774960380348652,0.6648177496038035,0.687797147385103,0.6988906497622821,0.659270998415214,0.6735340729001584,0.6778129952456418,0.011505808696314837,18,0.7044374009508716,0.7025884838880084,0.7033808769149498,0.7049656629688326,0.7061102306744145,0.7068145800316957,0.7032928332452897,0.7038210952632505,0.7037330515935905,0.7079591477372776,0.7047103363268181,0.001646416622644825,0.6695462949962808,0.6740132740603778,0.6804929557966476,0.6868060419891966,0.680334332180942,0.6622673753502959,0.6839033074655279,0.6962503136226668,0.6609940661010968,0.6823800531371853,0.6776988014700217,0.010485644163801421,17,0.7065873621390667,0.7032339646656498,0.7046654575968547,0.7057341572949526,0.7077781501405054,0.706104070751097,0.7035060695022953,0.7039553665330531,0.7040261382039131,0.7101650549084297,0.7055755791735818,0.0020703373616192807
9.730449724197388,0.06682966261040349,0.09743871688842773,0.005982280426463585,gini,6,auto,500,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'auto', 'model__n_estimators': 500}",0.6703645007923931,0.6798732171156894,0.687797147385103,0.6885895404120443,0.6798732171156894,0.6679873217115689,0.6838351822503962,0.696513470681458,0.6648177496038035,0.6735340729001584,0.6793185419968303,0.009627167659126796,13,0.705229793977813,0.7025884838880084,0.7039971826025708,0.7069026237013559,0.705229793977813,0.706990667371016,0.7055819686564536,0.7046134882901919,0.7056700123261137,0.7100721958091213,0.7056876210600458,0.001909066138361614,0.6711255154207435,0.6801323667138102,0.6839284604400797,0.6870123105320202,0.682632284417147,0.6654916657768771,0.6794825844526108,0.6941439504822017,0.6670455332830743,0.6788834589329206,0.6789878130451485,0.008484920051208973,13,0.7069000245337268,0.7029321032148117,0.7053411154130476,0.7077823572532908,0.7065288660774627,0.7067824633320734,0.7058617367199238,0.7049046123477659,0.7058507671071946,0.7105502377522075,0.7063434283751505,0.0018839162330023965
3.902048921585083,0.04018080197193186,0.04896836280822754,0.0030259388299604217,gini,6,sqrt,200,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__n_estimators': 200}",0.6648177496038035,0.6767036450079239,0.687797147385103,0.6870047543581617,0.6806656101426307,0.6703645007923931,0.6846275752773375,0.7004754358161648,0.659270998415214,0.6727416798732171,0.6784469096671948,0.01159062726036547,16,0.7028526148969889,0.7017960908610671,0.704085226272231,0.7012678288431062,0.707518929388977,0.7083113224159183,0.7058460996654341,0.7028526148969889,0.7069026237013559,0.7058460996654341,0.7047279450607502,0.002363788074150076,0.6658972338925297,0.6765326348908568,0.6854786070519875,0.6860314280532497,0.6825212203905382,0.6682602473751095,0.6808373203082824,0.6986091253991241,0.661509104772937,0.6788910471407839,0.6784567969275398,0.010429818383642585,14,0.7044223344644385,0.7015958199113508,0.7056378580173556,0.7017122457162125,0.7087858677057134,0.7076601676956903,0.7064312378481797,0.7028324019427066,0.7073976333694773,0.7063438412390387,0.7052819407910164,0.002409443694133238
9.732055568695069,0.10255223097046931,0.09660844802856446,0.004302136143449834,gini,6,sqrt,500,"{'model__criterion': 'gini', 'model__max_depth': 6, 'model__max_features': 'sqrt', 'model__n_estimators': 500}",0.6703645007923931,0.6751188589540412,0.6854199683042789,0.6806656101426307,0.6814580031695721,0.6640253565768621,0.6838351822503962,0.694136291600634,0.6648177496038035,0.6782884310618067,0.6778129952456419,0.008966304380231778,17,0.7055819686564536,0.7010036978341257,0.7036450079239303,0.7067265363620355,0.7043493572812115,0.7087515407642191,0.7033808769149498,0.7062863180137348,0.7053178376474731,0.7099841521394612,0.7055027293537595,0.0024962981150486083,0.6713268662140235,0.6754357884254222,0.6811469718054326,0.6783854986037545,0.6841101768027312,0.6598850051872862,0.6803023421892422,0.6918108464100394,0.6667334032448756,0.6850868576136981,0.6774223756496506,0.008924733869219938,18,0.7074006313608108,0.7013446732308068,0.7046187595019273,0.7076740323502791,0.7056897400625713,0.7077864141430842,0.7034251529259695,0.706109168581121,0.7051035004353332,0.7098711661623932,0.7059023238754297,0.002323092115833486
