mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.36738247871398927,0.07405266722424524,1.8098928451538085,0.2972442070232053,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7029702970297029,0.6992868462757528,0.7004754358161648,0.7012678288431062,0.7131537242472267,0.7034308264423907,0.005006641450170315,17,0.8017036450079239,0.8011290482321481,0.8031098346043379,0.8006338516391007,0.7946914925225315,0.8002535744012084,0.00290202505653785,0.7008939460249541,0.695653988984182,0.698182020186349,0.6969034229088092,0.7125959310776416,0.7008458618363871,0.00612635062677757,16,0.8012489671660447,0.7998955206075699,0.8017973604792488,0.7993826569448795,0.7933324620871055,0.7991313934569696,0.0030287333079121025
0.26517157554626464,0.01950142569622016,0.930970573425293,0.23653345071551843,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7148514851485148,0.7159270998415214,0.713946117274168,0.7060221870047544,0.7297939778129953,0.7161081734163908,0.007685244351119734,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.710927085241787,0.7113143574041629,0.7113246489099547,0.7002009072228502,0.7264762373785516,0.7120486472314613,0.008376700510114481,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.27615981101989745,0.0781548289542923,1.3244382858276367,0.4515210866454283,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6855445544554456,0.7020602218700476,0.6933438985736925,0.7064183835182251,0.7024564183835182,0.6979646953601858,0.0075369147483616405,21,0.7722860538827259,0.7713182133306923,0.7731009210656631,0.7680499158165792,0.769436466277112,0.7708383140745545,0.0018539679790488795,0.6821055615713177,0.6977410707694117,0.6899090109656599,0.7000288266192172,0.7011877857668934,0.6941944511385,0.007211538334136047,21,0.7714058274951201,0.769728102242304,0.7720503341295473,0.7660933599935162,0.7674025936221935,0.7693360434965364,0.0022829066655793025
0.28503832817077634,0.07978865638041271,0.8246214866638184,0.2023501742832712,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7077227722772277,0.7127575277337559,0.7099841521394612,0.71513470681458,0.7278129952456418,0.7146824308421333,0.007026125492682643,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7036726019405533,0.7082009439104814,0.7057497677574937,0.7092095635549374,0.7246601757441916,0.7102986105815314,0.007435546306202654,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.3916943073272705,0.11189193666151581,1.8927996158599854,0.38094917489656277,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6847524752475248,0.705229793977813,0.7000792393026941,0.7048335974643423,0.7119651347068146,0.7013720481398378,0.009131917295991655,19,0.7610935023771791,0.7580469446370209,0.7606219669208676,0.7549767257601268,0.7553728830345647,0.7580224045459518,0.0025489641877376,0.6801162219245548,0.7001837367783679,0.6944601204005009,0.6975756113395276,0.710638794766633,0.6965948970419168,0.009870933485968385,19,0.7589203669746869,0.7560236079508237,0.7585471908738414,0.7521692051943029,0.7526086432316595,0.7556538028450628,0.0028493616538816818
0.3326371192932129,0.1000997019123415,0.9250277996063232,0.3031085541858527,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7077227722772277,0.7183042789223455,0.7127575277337559,0.7167194928684627,0.7278129952456418,0.7166634134094867,0.006666329821211205,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7037698106275699,0.7142776529602722,0.707718138286874,0.7107363569714072,0.7238984783505386,0.7120800874393324,0.006846847020579376,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.2483675956726074,0.02175128642747651,1.2378434181213378,0.29053741987901605,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.685940594059406,0.6917591125198098,0.6992868462757528,0.7024564183835182,0.7068145800316957,0.6972515102540365,0.0074938537877771985,22,0.7528724247226625,0.7479449341388531,0.7525007427948895,0.745072793899178,0.7462612657224919,0.748930432255615,0.0032019822662173996,0.6816718618665691,0.6859552194454667,0.6935535771701048,0.6953081254431854,0.7054607060370783,0.692389897992481,0.008209721189187226,22,0.7505841183451217,0.7451067359327779,0.7499072690335361,0.7421579496421911,0.7431321600685118,0.7461776466044279,0.0034614123776446105
0.30577449798583983,0.08403828785886595,0.8951314449310303,0.23381181764438108,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7081188118811881,0.7099841521394612,0.7119651347068146,0.7194928684627575,0.7230586370839936,0.7145239208548431,0.005756980613954213,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7050043533535283,0.7046564630121798,0.7071547886259333,0.71431598177615,0.7194424376694505,0.7101148048874484,0.005819390479119468,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.36782398223876955,0.06584479566179885,1.4559755802154541,0.2468966623356736,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.68,0.686608557844691,0.6870047543581617,0.6984944532488114,0.7032488114104596,0.6910713153724248,0.008513771584884772,23,0.7395998415213946,0.7369515697732,0.735961176587105,0.7333861543032584,0.7344755868079628,0.7360748657985842,0.0021444743755641717,0.6759906937120086,0.6801715326549321,0.6810878261747321,0.6910176279580131,0.7015809172492936,0.6859697195497959,0.009232807631214262,23,0.73623307840652,0.7337074928097843,0.7329847512053907,0.7298276730772147,0.7303222786048736,0.7326150548207566,0.002342925974254053
0.29683570861816405,0.04899420973127306,0.8716319561004638,0.17849376615423262,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7001980198019802,0.7040412044374009,0.7123613312202852,0.7159270998415214,0.723851030110935,0.7112757370824245,0.00843807996690174,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6957954883703684,0.6978512938544312,0.7068698483067921,0.7096310719135059,0.7207009745702189,0.7061697354030633,0.008949294849796308,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
