mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.06557117189679827,0.005479856009991613,0.1879148142678397,0.04224427726362898,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.704381586245147,0.7066001109262341,0.7165834719911259,0.7060454797559623,0.7138103161397671,0.7165834719911259,0.7142064372918979,0.7111729820487515,0.0048994120883428995,19,0.8074327447536286,0.8076176389017288,0.8046593325321254,0.8066007210871776,0.8045668854580752,0.8063233798650272,0.8056017748197448,0.8061146396310724,0.001137211353387699,0.7008543089892264,0.7040010694327892,0.7097041066138973,0.7021248315205778,0.7087588954017792,0.7131600687824085,0.7140181875276154,0.7075173526097561,0.004873603878919836,18,0.8059406306716507,0.8058153394764458,0.8031391108114653,0.8046996132133769,0.8027895471974412,0.804681946829679,0.8037850002939289,0.8044073126419982,0.0011406289544922462
0.07028133528573173,0.006529573787366999,0.13101754869733537,0.009107917222011132,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7093732667775929,0.7149195784803106,0.7199112590127565,0.7182473655019412,0.7310038824181919,0.7199112590127565,0.718645948945616,0.7188589371641666,0.006043063688127809,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7059156499827167,0.7107863288037221,0.7138248240394008,0.7138242967486496,0.7254405116745376,0.7142030791216053,0.7137976528878125,0.7139703347512064,0.0054341156289187545,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07539585658482142,0.006337990996459125,0.16765744345528738,0.005658880057144876,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6916250693288963,0.704381586245147,0.7099278979478647,0.7071547420965059,0.7193566278424848,0.7204658901830283,0.7042175360710322,0.7081613356735657,0.009135165703326047,20,0.7813626698714986,0.7779421281316447,0.7820097993898493,0.7789590459461958,0.7779421281316447,0.7795137283904965,0.7774080236642633,0.7793053605036562,0.0016486598261037208,0.6868042669445007,0.7014286137144979,0.7039245246147791,0.701132141659193,0.7139296937058848,0.7172190327338358,0.7019623096774346,0.7037715118643038,0.0091625319980457,20,0.7800782512852457,0.7756471267030957,0.7796288916937104,0.7771222196719327,0.7757354642481535,0.777469523998945,0.7750387122461089,0.7772457414067416,0.001831289067920468
0.09870856148856026,0.029774213869599716,0.15929545675005233,0.051094457571324144,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7077093732667776,0.7165834719911259,0.7237936772046589,0.7182473655019412,0.7337770382695508,0.7282307265668331,0.720865704772475,0.7213153367961948,0.0078046341122942975,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7025342768831274,0.7136374888776766,0.7175861453450799,0.7143396933668189,0.7290002574481832,0.7233440687325238,0.7163239833983948,0.7166808448645435,0.007671671352987716,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08891589300973075,0.025040859324914927,0.1908407551901681,0.04782279720642322,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6888519134775375,0.704381586245147,0.7149195784803106,0.7060454797559623,0.7193566278424848,0.704381586245147,0.7081021087680355,0.7065769829735179,0.008939034378607302,22,0.7723953036886383,0.7685125265785338,0.7688823148747342,0.7693445502449847,0.7644448553203291,0.7686049736525838,0.7669624699574783,0.7684495706167548,0.0022307715556740388,0.6841943592738199,0.7015095757091387,0.7085089298168145,0.7003174604184866,0.7119482710885049,0.6996351010144656,0.7057738990305383,0.7016982280502527,0.008286341248841185,21,0.7704102100268511,0.7657582985209644,0.766223214269179,0.7665479767345156,0.7612871532723219,0.7654638375205716,0.7639730444188592,0.7656662478233232,0.0025547067206638983
0.06864925793239049,0.004589868546376348,0.15104075840541295,0.039143057155361004,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7060454797559623,0.7182473655019412,0.7249029395452025,0.7160288408208542,0.7343316694398225,0.7199112590127565,0.7214206437291898,0.7201268854008186,0.007972447531529429,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7001808149646516,0.7158313009708188,0.7182893377798207,0.7125394473301307,0.7280667342461137,0.715133428130514,0.7164651681048358,0.7152151759324122,0.007650894705977768,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06997888428824288,0.015323508661175886,0.2011551856994629,0.04261105565328931,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6894065446478093,0.7016084303937882,0.7082640044370494,0.7066001109262341,0.7066001109262341,0.7127010537992235,0.7075471698113207,0.7046753464202371,0.006922938405561617,23,0.7621336784690764,0.7576037718406212,0.7594527133216233,0.7595451603956734,0.7564019598779699,0.7557548303596191,0.7587354409317804,0.758518222170909,0.0019999179934638103,0.684045713360855,0.6990125650855993,0.7006467487600139,0.7008531000837539,0.698520390860698,0.7086581501981815,0.7035031044401557,0.6993199675413225,0.006998446698576247,23,0.7595622969657553,0.7544691156216611,0.7563563768193393,0.756523824847382,0.752948029590834,0.7523584839524152,0.7552257160223305,0.7553491205456738,0.002256550252456805
0.09623599052429199,0.0314163860716622,0.16739606857299805,0.048923936136330906,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7027176927343317,0.7060454797559623,0.7199112590127565,0.7093732667775929,0.7276760953965613,0.7276760953965613,0.7147613762486127,0.7154516093317685,0.009310632706719774,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.697404053944821,0.702969333212895,0.7132154297092658,0.7057374887579557,0.7207851676490268,0.723724124754475,0.7094108637081018,0.7104637802480773,0.008783987062790993,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07838610240391322,0.020521740931297078,0.19948404175894602,0.03880121409788132,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6966167498613423,0.7032723239046035,0.7093732667775929,0.7038269550748752,0.7099278979478647,0.718801996672213,0.7069922308546059,0.7069730601561569,0.006383715372794461,21,0.7501155588425626,0.7479892761394102,0.7497457705463622,0.7493759822501618,0.7484515115096607,0.745215863917907,0.7469033092993159,0.7482567532150542,0.001608606208434011,0.6907884645446486,0.6993471191849572,0.7029937215416491,0.6985047197350011,0.7020164490894432,0.7142899116233998,0.7030091773621768,0.7015642232973252,0.006510125063625834,22,0.7470428418890827,0.7445251223537791,0.7465110570201141,0.7461430327874865,0.7444816067964519,0.7416641720177485,0.7433135565831066,0.7448116270639671,0.001772033123352497
0.071380615234375,0.014864549934924708,0.13911104202270508,0.007199902876161963,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.704381586245147,0.7132556849694953,0.7154742096505824,0.7104825291181365,0.7243483083749307,0.7276760953965613,0.7164261931187569,0.7160063724105158,0.007362497211671233,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6995546894532506,0.7099142483630855,0.7085838941863257,0.7054227901422233,0.7177418131218268,0.7234210853801405,0.7117484199714809,0.7109124200883333,0.007263988221619055,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
