mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07457022666931153,0.009471832364901582,0.1566091299057007,0.01310269887863655,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.7147385103011094,0.6925515055467512,0.7202852614896988,0.7099841521394612,0.6711568938193344,0.705229793977813,0.7155309033280507,0.7155309033280507,0.7187004754358162,0.7107765451664025,0.7074484944532489,0.014270996215344178,18,0.7990843458355344,0.7967952104243705,0.7946821623525269,0.7961789047367495,0.8025180489522803,0.7987321711568938,0.7968832540940306,0.8004930445500968,0.7983799964782532,0.7989082584962142,0.798265539707695,0.0021360526530651743,0.7135332403305512,0.6888792405348566,0.7162891206446849,0.7018399634997097,0.6664519475968488,0.7036453865491283,0.7095389913400449,0.7110990135827221,0.7176941712229645,0.708373469837487,0.7037344545138998,0.014738450090285845,18,0.7975151062474409,0.7952894242027646,0.7930046071978246,0.7945891184862993,0.8010101718071391,0.7967738594429397,0.7951720293671564,0.7990382944960863,0.7965671737299759,0.7970232219277644,0.7965983006905392,0.0021718634940620114
0.08755865097045898,0.027415872370730072,0.16612710952758789,0.03453549301166472,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7091917591125199,0.7076069730586371,0.7218700475435816,0.7123613312202852,0.6751188589540412,0.7083993660855784,0.7282091917591125,0.7194928684627575,0.7234548335974643,0.7091917591125199,0.7114896988906498,0.013976025055358537,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7057639641019363,0.7033588020828362,0.7166048802798429,0.7049390571264558,0.6692626987966205,0.7077446527092649,0.7216480550464366,0.7151919088695438,0.7203998590617096,0.7045254229605012,0.7069439301035148,0.014153681256616299,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09297306537628174,0.02712654250811319,0.1476541519165039,0.03697476620938963,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.7083993660855784,0.7028526148969889,0.713946117274168,0.7123613312202852,0.6727416798732171,0.7115689381933439,0.7123613312202852,0.7012678288431062,0.7028526148969889,0.7107765451664025,0.7049128367670364,0.01157653398906477,20,0.7762810353935552,0.7748723366789928,0.7770734284204965,0.7760169043845747,0.7806832188765628,0.7755766860362739,0.7749603803486529,0.7769853847508364,0.7724951575981687,0.7764571227328755,0.776140165522099,0.00197390687199737,0.70605569148821,0.7007536216081737,0.7102416816142364,0.7064183377887615,0.6680852427619026,0.7069458866978074,0.7049499650963068,0.6966666927302249,0.7028499640549601,0.7077143154741279,0.7010681399314711,0.011584301186513057,20,0.7750746177038247,0.7735967232455911,0.7752729728830683,0.7746947812415156,0.7791285404508453,0.7739469299828847,0.7734343855964941,0.7754379052374898,0.7707007707470214,0.7746884846122357,0.7745976111700971,0.0019975080628494056
0.10157625675201416,0.03480116089327427,0.12115542888641358,0.036386728310808886,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7115689381933439,0.716323296354992,0.7194928684627575,0.7187004754358162,0.687797147385103,0.7107765451664025,0.7282091917591125,0.7171156893819335,0.7218700475435816,0.7242472266244057,0.7156101426307447,0.010550736214329753,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7094821821260624,0.7129879796196514,0.7148451978604422,0.7144460092602289,0.6822414658611446,0.7075914635531328,0.7209153969890684,0.7130390552203709,0.7187841865274318,0.7215804435892562,0.7115913380606791,0.01069160020792591,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.08385636806488037,0.02129317587144513,0.14406685829162597,0.025819951893826267,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.7099841521394612,0.6988906497622821,0.7060221870047544,0.7076069730586371,0.6679873217115689,0.7099841521394612,0.722662440570523,0.694136291600634,0.6980982567353408,0.7028526148969889,0.7018225039619651,0.013586941206754681,22,0.7641310089804543,0.7653636203556964,0.762194048247931,0.7606092621940482,0.7646592709984152,0.763954921641134,0.7622820919175911,0.7647473146680753,0.7599929565064272,0.7632505722838528,0.7631185067793627,0.001715496505629575,0.7070902576291902,0.697796952667483,0.700662970301958,0.7011891911889597,0.6624947180792801,0.7057445183180879,0.7161991824846184,0.6880542539563435,0.6968727930917034,0.6995999529244351,0.697570479064206,0.01361121831948618,22,0.7620099535335196,0.7631994597783767,0.7599766073325167,0.7582864555501392,0.7622695535820129,0.7618692064382334,0.759696424063154,0.7628283849698596,0.7577026006740739,0.7611075503226343,0.760894619624452,0.0018014225654133867
0.08415217399597168,0.02826082782754331,0.11842687129974365,0.03131324077485121,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7131537242472267,0.713946117274168,0.7187004754358162,0.7123613312202852,0.679080824088748,0.7202852614896988,0.7353407290015848,0.713946117274168,0.7242472266244057,0.7202852614896988,0.7151347068145799,0.013679971990495993,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7116404296083946,0.7119988296894453,0.7133786059054589,0.7075113232068355,0.6736412102558457,0.717639929684405,0.7296310218419062,0.7095499253693491,0.7211217802813106,0.7172986298725537,0.7113411685715505,0.013961307910488567,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06914341449737549,0.005592345396796182,0.13638110160827638,0.02636713938481372,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.7044374009508716,0.7012678288431062,0.7131537242472267,0.7083993660855784,0.6679873217115689,0.716323296354992,0.7250396196513471,0.6917591125198098,0.7028526148969889,0.6957210776545166,0.7026941362916006,0.014848861800941584,21,0.7540059869695369,0.7515407642190527,0.7530375066032752,0.7548864236661385,0.755238598344779,0.7557668603627399,0.7527733755942948,0.7568233843986617,0.751188589540412,0.7549744673357985,0.754023595703469,0.0017532852879583133,0.7016966333304628,0.6997941460736039,0.7071898884201195,0.7004786750509968,0.6623318742486392,0.711403376315425,0.7187934247321325,0.685307800769311,0.7009346767923367,0.6924917909670799,0.6980422286700108,0.014804529455495239,21,0.7515941446895678,0.7490683371548454,0.7500881072568882,0.7524887806857448,0.7526346549118508,0.7530935840795036,0.750075414770919,0.7545710871835366,0.7485510685320572,0.7527854562922484,0.7514950635557163,0.0018582060791512806
0.07808592319488525,0.01226148652895118,0.11849284172058105,0.033737434743084056,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7099841521394612,0.7131537242472267,0.7250396196513471,0.7107765451664025,0.6854199683042789,0.7234548335974643,0.7274167987321711,0.713946117274168,0.7242472266244057,0.7147385103011094,0.7148177496038034,0.011550742263001283,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7070573205785469,0.7111750021004176,0.7199741636065945,0.7053927472691842,0.6794911932615645,0.7211396368346453,0.7218867005878177,0.7099046539459174,0.7214793828524853,0.7123330735485806,0.7109833874585754,0.012060187405491623,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07131795883178711,0.006479261335920631,0.13468854427337645,0.00609711150874786,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.696513470681458,0.6949286846275753,0.705229793977813,0.7060221870047544,0.6703645007923931,0.7020602218700476,0.7187004754358162,0.7020602218700476,0.7012678288431062,0.7020602218700476,0.6999207606973059,0.011591981479634299,23,0.7430885719316781,0.7438809649586194,0.7431766156013383,0.7417679168867758,0.7450255326642015,0.7452016200035217,0.7422961789047368,0.746522275048424,0.7425603099137172,0.7437048776192992,0.7437224863532312,0.0014019693114536503,0.693255708207218,0.6925979934577734,0.6997942454437572,0.6990425135869165,0.6647686907686213,0.6970259340533606,0.7127982316833741,0.6955213717381798,0.6980185637034112,0.698649591129959,0.695147284377257,0.011425579006371995,23,0.7403633948849,0.7411796885818397,0.7406216208442548,0.7388789680602053,0.7422645071648143,0.7425117589691101,0.739685209086592,0.7441520838895282,0.7396067350811916,0.7410555950445329,0.7410319561606968,0.0015020741945122598
0.0783571720123291,0.012728135199950244,0.12043795585632325,0.02813713980204356,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7107765451664025,0.7044374009508716,0.7194928684627575,0.7179080824088748,0.6822503961965135,0.7155309033280507,0.7321711568938193,0.7171156893819335,0.7171156893819335,0.7147385103011094,0.7131537242472266,0.012250098917385334,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.708097667968248,0.7026924596459665,0.7148970352413526,0.7120814922448225,0.6762838153093725,0.7124297747336505,0.7268722714002039,0.7111516129446246,0.7138503584845038,0.7125203484968289,0.7090876836469574,0.012356664003503078,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
