mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.08180880546569824,0.028751503583452923,0.2654612064361572,0.026625759981989103,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6957210776545166,0.7179080824088748,0.7012678288431062,0.7068145800316957,0.7083993660855784,0.7060221870047544,0.007433305483079923,19,0.8050713153724247,0.806160855784469,0.8024960380348652,0.804972266244057,0.8002179080824089,0.803783676703645,0.002149160674344762,0.6929781282607325,0.7118282808382477,0.6979025852946688,0.7012859171773415,0.7080917164738177,0.7024173256089616,0.006804795393518427,19,0.8036005888314709,0.8046348840527365,0.8005715824569799,0.8033840590772368,0.7984569140200415,0.8021296056876931,0.002277277535797965
0.06464824676513672,0.009207738613344568,0.21881203651428222,0.026778488194274308,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7048335974643423,0.7266244057052298,0.7123613312202852,0.7190966719492868,0.7187004754358162,0.716323296354992,0.007309798830902594,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7020331294169324,0.7198606731572733,0.7087184938968839,0.713069204656654,0.7146079667893721,0.7116578935834232,0.005987595166355966,15,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07233014106750488,0.011707517571336652,0.2935496807098389,0.03652336197445468,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.6897781299524565,0.7127575277337559,0.7012678288431062,0.7091917591125199,0.7072107765451664,0.7040412044374009,0.008045813800535005,22,0.778229001584786,0.7784270998415214,0.7792194928684627,0.7749603803486529,0.7744651347068146,0.7770602218700475,0.0019514437965173913,0.6863163392987424,0.7067671099958893,0.6962394254759438,0.7039228445868574,0.7057171151752387,0.6997925669065342,0.0076816305791524,22,0.776910737247987,0.7760857945239729,0.7769262250379698,0.7727045111056714,0.7720630908766559,0.7749380717584513,0.002117344487951702
0.06565022468566895,0.005812996174244531,0.22035856246948243,0.02189207589030868,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7040412044374009,0.7293977812995246,0.7080031695721077,0.7222662440570523,0.7274167987321711,0.7182250396196513,0.010308421152424368,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6999938596224506,0.7240639742159187,0.7044080276554271,0.7171109428899717,0.7235854406987926,0.7138324490165122,0.009908377779916782,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07319788932800293,0.0074016269485293025,0.30977044105529783,0.06332735490081952,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6913629160063391,0.713946117274168,0.6992868462757528,0.7159270998415214,0.7048335974643423,0.7050713153724247,0.009143817265769669,20,0.7675316957210776,0.7662440570522979,0.7651545166402536,0.7642630744849446,0.7638668779714739,0.7654120443740096,0.0013385931780131278,0.6880725687223025,0.7079698512098986,0.6949338688345004,0.7098192510332435,0.7019290232639213,0.7005449126127733,0.008125293877848019,20,0.7652149039810064,0.7632312627903814,0.7618964632259856,0.7615839564143851,0.7605417763937735,0.7624936725611066,0.0016089301347530813
0.06841588020324707,0.009404173639355463,0.19003605842590332,0.03490239946686796,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7028526148969889,0.7274167987321711,0.7135499207606973,0.7222662440570523,0.7230586370839936,0.7178288431061806,0.008735751291647388,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6981878884359188,0.7221660036952147,0.7100629851616244,0.7165178315771207,0.7191971695888985,0.7132263756917554,0.008515446541876486,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06756443977355957,0.013203161074565322,0.2259082317352295,0.022566332380992822,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6921553090332805,0.7111727416798732,0.7020602218700476,0.7123613312202852,0.7076069730586371,0.7050713153724246,0.007385000985535499,21,0.7600039619651348,0.7573296354992076,0.7553486529318542,0.7559429477020603,0.7555467511885895,0.7568343898573693,0.0017292514138506764,0.6882553990694279,0.7050085384350684,0.696069013095722,0.7059215817926168,0.7044322597338956,0.6999373584253461,0.006828824258341172,21,0.7572358706892597,0.7544245240444237,0.7518571737307506,0.752873522727957,0.7521125163187653,0.7537007215022313,0.001981236573320428
0.07812132835388183,0.017101157269898373,0.20123143196105958,0.07887789509949145,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7028526148969889,0.7278129952456418,0.7083993660855784,0.7246434231378764,0.7206814580031695,0.7168779714738511,0.009622274893733046,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6990812112693482,0.7236922569836846,0.7043191772468189,0.7187212024130482,0.7167564450614327,0.7125140585948665,0.0092636500809382,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07247982025146485,0.015442496082944297,0.244535493850708,0.018395181660394975,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6885895404120443,0.7068145800316957,0.6893819334389857,0.7076069730586371,0.7127575277337559,0.7010301109350238,0.010046843651724547,23,0.7470285261489699,0.7461370839936609,0.7464342313787639,0.7461370839936609,0.7414817749603804,0.7454437400950871,0.0020075477115940018,0.6833333706048267,0.7004290234807284,0.6834985090406044,0.7012697208075586,0.7108914630428398,0.6958844173953116,0.010824101419413151,23,0.7436788689132252,0.7430104480316724,0.742810085156612,0.7429433678619668,0.7376610422696517,0.7420207624466256,0.002200462938849889
0.07781624794006348,0.02749090254351662,0.22051239013671875,0.0634719676813592,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7004754358161648,0.7194928684627575,0.705229793977813,0.7175118858954042,0.7278129952456418,0.7141045958795562,0.009930553183904709,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6958365855606139,0.7143484794667412,0.7001979645765556,0.7107674071674451,0.7258411363422779,0.7093983146227267,0.010633079221054454,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
