mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,split10_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,split6_train_accuracy,split7_train_accuracy,split8_train_accuracy,split9_train_accuracy,split10_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,split10_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,split6_train_precision_macro,split7_train_precision_macro,split8_train_precision_macro,split9_train_precision_macro,split10_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.07742316072637384,0.01093957195413078,0.11884476921775124,0.007168375269053807,euclidean,5,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'uniform'}",0.6951219512195121,0.7081881533101045,0.7116724738675958,0.7271142109851787,0.7009590235396687,0.7192676547515258,0.7192676547515258,0.7166521360069747,0.7166521360069747,0.7044463818657367,0.7367044463818657,0.714186020244242,0.011336073364124613,18,0.8091004184100419,0.8069211994421199,0.806136680613668,0.8051948051948052,0.8078968011853918,0.8069380284145384,0.8058920944826985,0.8084197681513118,0.8081582846683518,0.8072866730584851,0.8049333217118452,0.806988915939387,0.001285121759236317,0.692051492437191,0.7046917161165815,0.709816028213856,0.7205441382477565,0.6949473877430045,0.7152571909866252,0.7131699566451112,0.7132211554478943,0.7119731250765541,0.7020346665577604,0.7356458679315466,0.7103047932185347,0.011521567019034616,18,0.8072915232461736,0.8053773943925517,0.804491478786658,0.8034449841392703,0.8062349378344841,0.8049683959160265,0.8042548073062158,0.8065815978934128,0.8064838576853521,0.8056199226423973,0.8031142378037265,0.8052602852405698,0.0012809801676873034
0.08775730566544966,0.02307836309556218,0.11844429102810947,0.0281579433034798,euclidean,5,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__weights': 'distance'}",0.7038327526132404,0.710801393728223,0.7334494773519163,0.7271142109851787,0.7053182214472538,0.7288578901482128,0.7271142109851787,0.7262423714036618,0.7201394943330427,0.7166521360069747,0.7471665213600698,0.7224262436693594,0.01223105219379045,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7015120883032997,0.7050172353462804,0.7289427591946446,0.7206781943631219,0.7002249437608724,0.7236443639643712,0.7210463419534184,0.7237761330954747,0.7141227335239753,0.7118558459360986,0.7438584984123834,0.7176981034412674,0.012351734156816365,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.10168693282387474,0.02832042521762547,0.13642803105441006,0.026604815090464418,euclidean,8,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.686411149825784,0.7012195121951219,0.7160278745644599,0.7297297297297297,0.6913687881429816,0.7053182214472538,0.7114210985178727,0.7157802964254577,0.7227550130775937,0.6965998256320837,0.7131647776809067,0.7081632988399313,0.012716358276045734,22,0.7806834030683403,0.7797245467224547,0.7784170153417015,0.7804410354745925,0.7820099363723525,0.7803538743136058,0.7797437461866992,0.7798309073476859,0.7814869694064325,0.7801795519916326,0.7754728492983527,0.7798494395930772,0.001651215920690215,0.6821214971345625,0.6974678315501696,0.713104145617634,0.7241813371739463,0.6875995998419923,0.6976066693031446,0.7045458447683363,0.7118592939900016,0.7187097206713177,0.6958071246182189,0.7122150047185143,0.7041107335807125,0.012556326589738669,22,0.7787611938205468,0.7779200199133626,0.7761298985289615,0.778579937562364,0.7801062955030551,0.7783247823856936,0.7776480853223159,0.7777825627529734,0.7793668377153065,0.7779569548856687,0.7734228648249369,0.7778181302922895,0.0016946152503034427
0.08725209669633345,0.010023639921213042,0.12818082896145908,0.03896892842175028,euclidean,8,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.6933797909407665,0.7229965156794426,0.7264808362369338,0.7306015693112468,0.7044463818657367,0.7166521360069747,0.7244986922406277,0.7288578901482128,0.7332170880557978,0.7140366172624237,0.7367044463818657,0.7210792694663662,0.012432770691656197,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6889214677173436,0.718135624254861,0.7228125146731406,0.7243817574359491,0.7000093460003295,0.7104395190439956,0.7202983114291881,0.7250535407721955,0.7293350757157445,0.7081453280147537,0.7341392594926687,0.7165156131409246,0.012817468499682225,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0813636996529319,0.011601798848573586,0.12121826952153986,0.007778536765637704,euclidean,10,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.6846689895470384,0.6898954703832753,0.7125435540069687,0.7244986922406277,0.6922406277244987,0.7018308631211857,0.7079337401918047,0.7218831734960767,0.7096774193548387,0.6957279860505667,0.7218831734960767,0.7057076081466325,0.013254421680679685,23,0.774581589958159,0.7701359832635983,0.7699616457461645,0.7694587291902728,0.7707661466050728,0.7702431796391528,0.7683256340974461,0.7698945349952061,0.7698073738342195,0.7701560184781662,0.7659722827508062,0.7699366471416603,0.0019307193088360095,0.6812094913413034,0.6849025678142227,0.709616775331741,0.7176932737423315,0.6864610863431039,0.6963506678571866,0.7002959751299285,0.717729641398307,0.7042480905650398,0.6933168178159771,0.7176045533421948,0.700857176425576,0.013010998150194875,23,0.7718873562829588,0.7675071443700675,0.7669893973803344,0.7666630366886176,0.7678885155483322,0.7674507289102482,0.7653025281214315,0.7668566555444237,0.7668538796551827,0.767210582659385,0.7631565318700613,0.7670696688210039,0.0019756755039434313
0.08885275233875621,0.023980092300268468,0.1202921217138117,0.039477112582913726,euclidean,10,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.6986062717770035,0.7099303135888502,0.7282229965156795,0.7349607672188317,0.7061900610287707,0.7149084568439407,0.7192676547515258,0.7306015693112468,0.7271142109851787,0.7201394943330427,0.7384481255448997,0.7207627201726337,0.011926539834817241,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6939757599423931,0.7039427493266774,0.7253749956576436,0.7286192458736928,0.7015880962084068,0.7088319305376819,0.7151685036491828,0.7256002572456051,0.7228331290504298,0.7152752775412647,0.7346323574865464,0.7159856638654113,0.012150197267347831,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.09009109843860973,0.028499176775951002,0.13353235071355646,0.01999357488425005,euclidean,12,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.6925087108013938,0.6977351916376306,0.7160278745644599,0.7210113339145597,0.7053182214472538,0.6948561464690497,0.7131647776809067,0.7201394943330427,0.7201394943330427,0.6948561464690497,0.7262423714036618,0.7092727057321864,0.01193991673893672,20,0.7641213389121339,0.7607217573221757,0.7613319386331938,0.7591737121938464,0.7617885470234463,0.7606554519306197,0.760045323803713,0.7602196461256864,0.7576048112960865,0.7617013858624597,0.7569946831691798,0.7603962360247766,0.001896852312538888,0.6885595319466559,0.692150634045044,0.713472882682044,0.7133263644852523,0.700418392056956,0.687900352890644,0.7052832180644009,0.7155236063299333,0.7147370186654214,0.6916010483085684,0.7229926765534646,0.7041787023662168,0.012027948013809298,20,0.7611762860054666,0.7578828347089229,0.7584577529947751,0.7560185124179111,0.7585395423538378,0.7575252342627949,0.7569390380740589,0.7571406899280249,0.7544455233761249,0.7581600064417329,0.7538550594027722,0.7572854981787657,0.0019269314067297436
0.07635283470153809,0.01459249403218099,0.10503762418573553,0.009802978199409727,euclidean,12,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7029616724738676,0.705574912891986,0.7203832752613241,0.7288578901482128,0.7105492589363557,0.7009590235396687,0.7279860505666957,0.7271142109851787,0.7253705318221447,0.7140366172624237,0.7410636442894507,0.7186233716524826,0.012174849815674895,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.699205561394292,0.6994646369478914,0.7165074864552571,0.7229086332965694,0.7064816019530414,0.6946261631519677,0.7235578226352991,0.7218069591199522,0.7202765132343346,0.7082310526082356,0.7380599883416723,0.7137387653762285,0.012615948090563557,16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.07214615561745384,0.010410072527509572,0.13212314519015225,0.019232715101361646,euclidean,15,uniform,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.6942508710801394,0.7081881533101045,0.710801393728223,0.7218831734960767,0.7009590235396687,0.7000871839581517,0.7096774193548387,0.7088055797733217,0.7227550130775937,0.6992153443766347,0.7244986922406277,0.7091928952668527,0.00980143497496688,21,0.7518305439330544,0.7510460251046025,0.7512203626220363,0.7514163688660332,0.7532467532467533,0.75124204654406,0.7530724309247799,0.7529852697637932,0.75124204654406,0.7493245010023534,0.7470583108167,0.7512440599425659,0.0017057170215647951,0.6903053044908091,0.7030653917629891,0.7086555043031993,0.7143905645087244,0.6973401392687413,0.6948923433428991,0.7007158399399614,0.7030685626742056,0.7175983817821612,0.6960358856996922,0.7196096009667691,0.7041525017036502,0.009287132289875872,21,0.7484520309716961,0.7475485264037821,0.7477945711456057,0.7484525249076218,0.7500308401434561,0.7480312889610357,0.7493319551619476,0.7496528324939086,0.747660997739238,0.7455820392966205,0.7436755595033686,0.7478375606116618,0.0017492434912498448
0.08813342181119052,0.02012380997081616,0.0984597856348211,0.009435373665893617,euclidean,15,distance,"{'model__metric': 'euclidean', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.6994773519163763,0.7177700348432056,0.7177700348432056,0.7236268526591108,0.7044463818657367,0.7079337401918047,0.7262423714036618,0.7192676547515258,0.7279860505666957,0.7166521360069747,0.7384481255448997,0.7181473395084724,0.010655150270388786,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6976150572237069,0.713626721900132,0.7140364198636007,0.7171459340840232,0.7004587844943915,0.7021534570432525,0.720043161956592,0.7141197204464114,0.7227810984496073,0.7109471123554034,0.7341883872074776,0.7133741686385998,0.010128419189108213,17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
